ratio,media,source,jobs,recordsize,mode,iters,source_bytes,elapsed_ms,write_bw_mib_s,cpu_active_pct,cpu_system_pct,cpu_iowait_pct,cpu_active_s_per_gib_calc,compressratio,qat_byte_share_pct_calc,comp_requests_delta,comp_in_delta,dc_fails_delta,sha_ok,effective_level,effective_hufftype,effective_min_buf,effective_max_buf,stamp
high,hdd,random,4,1M,qat,2,805306368.0,4923.4175,156.04500000000002,4.3036215,1.005,4.305,18.0808750135264,1.0,100.0,1536.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,4,1M,sw,2,805306368.0,4868.4365,157.815,65.67308349999999,15.79,3.795,272.83220205136865,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,128K,qat,2,1610612736.0,9778.09,157.095,6.341735,1.49,7.15,26.457623716757336,1.0,100.03662109375,24585.0,3222405120.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,128K,sw,2,1610612736.0,9722.743,157.985,63.840739,15.36,6.645,264.83502857688626,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,512K,qat,2,1610612736.0,9738.730500000001,157.72,4.6953914999999995,1.105,6.695,19.510251695142717,1.0,100.17903645833333,6155.0,3226992640.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,512K,sw,2,1610612736.0,9703.989,158.29,64.7640965,15.620000000000001,6.9,268.1472341465337,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,1M,qat,2,1610612736.0,9942.805,154.495,5.34357,1.2349999999999999,6.97,22.668831792575997,1.0,100.52083333333333,3088.0,3238002688.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,random,8,1M,sw,2,1610612736.0,9709.36,158.2,66.944614,16.130000000000003,6.234999999999999,277.32879248513706,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,128K,qat,2,191346108.0,804.278,226.91,4.9095615,1.67,1.63,14.181073395542835,17.11,100.00993592197862,2920.0,382730240.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,128K,sw,2,191346108.0,838.7795,217.82999999999998,11.4883165,3.7600000000000002,1.4849999999999999,34.60703644041084,16.86,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,512K,qat,2,191346108.0,573.144,318.515,3.3353795,1.58,1.255,6.865453283934416,24.9,100.00993592197862,730.0,382730240.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,512K,sw,2,191346108.0,603.965,302.6,10.080802,4.5600000000000005,1.415,21.865885388442923,24.42,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,1M,qat,2,191346108.0,546.954,333.695,3.1052445,1.55,0.845,6.099676672820326,25.46,100.2839357464224,366.0,383778816.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,1,1M,sw,2,191346108.0,582.2570000000001,313.755,8.915038500000001,4.23,1.335,18.642242468763424,25.17,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,128K,qat,2,765384432.0,1113.8455,655.995,5.1275189999999995,5.035,3.4299999999999997,5.127816228288078,17.16,100.00993592197862,11680.0,1530920960.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,128K,sw,2,765384432.0,1092.146,668.3399999999999,12.561185,12.754999999999999,2.4299999999999997,12.317186885978426,16.9,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,512K,qat,2,765384432.0,1077.9634999999998,677.1400000000001,3.827528,3.875,1.975,3.7044407401671,24.99,100.00993592197862,2920.0,1530920960.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,hdd,tiff,4,512K,sw,2,765384432.0,1018.0875,717.21,11.882211999999999,12.925,1.98,10.861320306327498,24.51,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
