row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,qat_driver_submits_delta,qat_driver_comp_submits_delta,qat_driver_decomp_submits_delta,qat_driver_tx_retries_delta,qat_driver_tx_errors_delta,qat_driver_callbacks_delta,qat_driver_comp_callbacks_delta,qat_driver_decomp_callbacks_delta,qat_driver_create_ns_delta,qat_driver_trans_put_ns_delta,qat_driver_response_wait_ns_delta,qat_driver_callback_process_ns_delta,qat_driver_user_callback_ns_delta,qat_driver_total_ns_delta,qat_driver_avg_response_wait_ns,qat_driver_avg_total_ns,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,512K,3,8,Image.tif_,1530768864,1450.555,,,,,,1006.41,0.10,5.79,2.95,91.16,24.60x,64.3M,1.43G,2927,1534590976,56437859,0,0,0,0,2927,0,2927,0,1014320,1726575833,1342767104,383814583,958952521,0,0,374656,327824,96591,424415,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852100,994460,56406544,58298442,15846486408,3250143,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2927,2927,0,0,0,2927,2927,0,37333813,2170784,15785358255,2454986,4791209,15833138323,5393016,5409340,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,5.89,3.835480,3.770361,100.25,na,na,na,10908399,10827801
summary,qat,sw,512K,,8,Image.tif_,1530768864,,1443.839,1450.555,1487.609,1487.609,1487.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1435.561,,,,,,1016.92,0.08,5.75,2.66,91.52,25.26x,61.4M,1.43G,1470,1541406720,56946674,0,0,0,0,1470,0,1470,0,569921,1734163410,1348730880,385435470,963295410,0,0,376320,329280,95550,424830,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973280,556970,51767246,51983971,15690391385,1655681,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,1470,0,0,0,1470,1470,0,35066206,1171982,15645605731,1260719,2599663,15686241958,10643269,10670912,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,5.83,3.757166,3.705610,100.69,na,na,na,10745441,10673736
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1491.108,,,,,,979.04,0.08,5.58,2.49,91.85,25.26x,61.4M,1.43G,1472,1543503872,57002509,0,0,0,0,1472,0,1472,0,591501,1736522816,1350565888,385959872,964606016,0,0,376832,329728,95680,425408,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524170,562870,52641821,52845205,14844167269,1744271,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,1472,0,0,0,1472,1472,0,35446297,1200845,14796657741,1311130,2560699,14837724632,10052077,10079975,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,5.66,3.788748,3.735197,100.83,na,na,na,10157200,10084353
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1561.445,,,,,,934.94,0.09,5.58,2.83,91.50,25.26x,61.4M,1.43G,1472,1543503872,57050283,0,0,0,0,1472,0,1472,0,607780,1736522816,1350565888,385959872,964606016,0,0,376832,329728,95680,425408,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931980,608370,51918080,52284472,15703981582,1802740,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,1472,0,0,0,1472,1472,0,35186451,1216114,15660946761,1380398,2641188,15701923373,10639230,10667067,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,5.67,3.974477,3.911390,100.83,na,na,na,10740480,10668466
summary,qat,sw,1M,,8,Image.tif_,1530768864,,1496.038,1491.108,1561.445,1561.445,1561.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,128K,1,8,Image.tif_,1530768864,1438.844,,,,,,1014.60,0.13,19.79,2.97,77.12,16.91x,104M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,19.92,12.866881,12.782910,0.00,na,na,na,na,na
raw,sw,sw,128K,2,8,Image.tif_,1530768864,1515.800,,,,,,963.09,0.07,18.25,3.62,78.06,16.91x,104M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,18.32,12.466301,12.418667,0.00,na,na,na,na,na
raw,sw,sw,128K,3,8,Image.tif_,1530768864,1432.722,,,,,,1018.94,0.08,18.98,3.12,77.82,16.91x,104M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,19.06,12.259000,12.207546,0.00,na,na,na,na,na
summary,sw,sw,128K,,8,Image.tif_,1530768864,,1462.455,1438.844,1515.800,1515.800,1515.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
