row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,8K,1,1,Image.tif_,191346108,1668.786,,,,,,109.35,0.01,4.77,1.55,93.67,4.44x,55.3M,183M,23358,191348736,6279674,0,0,0,0,23358,0,23358,0,4328783,216552018,95674368,120924366,0,0,274,46716,23358,46716,70074,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33555765,0,108402849,63753803,2452046283,34024840,0,0,0,0,0,38,0,0,23358,0,23358,23358,274,0,0,0,0,0,0,0,40,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,8K,,1,Image.tif_,191346108,,1668.786,1668.786,1668.786,1668.786,1668.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,qat,sw,16K,1,1,Image.tif_,191346108,1299.723,,,,,,140.40,0.01,3.43,0.96,95.60,7.79x,31.5M,183M,11653,190922752,7177438,0,0,0,0,11291,362,11653,0,2235251,215429011,143192064,72260253,70931811,0,0,46612,34959,23306,58265,4,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20046330,0,60379662,36217309,3771794477,20789756,0,0,0,0,0,96,0,0,11679,0,11653,11653,26,0,0,0,0,0,0,0,96,26,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,16K,,1,Image.tif_,191346108,,1299.723,1299.723,1299.723,1299.723,1299.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,qat,sw,32K,1,1,Image.tif_,191346108,1105.450,,,,,,165.07,0.04,3.77,0.89,95.30,6.91x,35.0M,183M,3345,109608960,4496000,0,0,0,0,2270,1075,3345,0,728971,123494055,95907840,27592905,68314935,0,0,26760,23415,10035,33450,8,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9140523,0,28072317,13509779,5059946472,9407463,0,0,0,0,0,96,0,0,5840,0,3345,3345,2495,0,0,0,0,0,0,0,96,2495,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,32K,,1,Image.tif_,191346108,,1105.450,1105.450,1105.450,1105.450,1105.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,qat,sw,64K,1,1,Image.tif_,191346108,976.121,,,,,,186.95,0.10,3.22,1.07,95.61,11.58x,20.3M,183M,1201,78708736,3579261,0,0,0,0,833,368,1201,0,333230,88613383,68870144,19745641,49124503,0,0,19216,16814,6005,22819,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11614676,0,20197592,5841282,3374847308,2586651,0,0,0,0,0,96,0,0,2920,0,1201,1201,1719,0,0,0,0,0,0,0,96,1719,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,qat,sw,64K,,1,Image.tif_,191346108,,976.121,976.121,976.121,976.121,976.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
raw,sw,sw,8K,1,1,Image.tif_,191346108,1541.165,,,,,,118.41,0.02,5.16,0.96,93.86,4.43x,55.3M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,1,4,2,22FB20D6AB5642298B92542
summary,sw,sw,8K,,1,Image.tif_,191346108,,1541.165,1541.165,1541.165,1541.165,1541.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,,4,2,22FB20D6AB5642298B92542
