row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,812.377,,,,,,224.63,0.02,1.70,0.92,97.36,17.11x,12.9M,183M,1460,191365120,6841830,0,0,0,0,489,971,1460,0,423760,215366060,167444480,47924500,119519980,0,0,0,40880,13140,54020,256,224,65,289,1460,1460,0,191365120,12964090,24097500,3073500,226140,398830,43970980,7322150,2279560210,4453060,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,128K,2,1,Image.tif_,191346108,808.985,,,,,,225.57,0.04,1.67,1.23,97.06,17.11x,12.9M,183M,1460,191365120,6841929,0,0,0,0,491,969,1460,0,419030,215366060,167444480,47924500,119519980,0,0,0,40880,13140,54020,256,224,65,289,1460,1460,0,191365120,12488350,24059190,3085580,228320,384000,43422300,7207020,2285718860,4516830,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,128K,3,1,Image.tif_,191346108,849.906,,,,,,214.71,0.02,1.63,1.50,96.86,17.11x,12.9M,183M,1460,191365120,6841953,0,0,0,0,485,975,1460,0,449400,215366060,167444480,47924500,119519980,0,0,0,40880,13140,54020,256,224,65,289,1460,1460,0,191365120,12241750,23463570,3023160,247130,394530,42476140,7132770,2275297920,4398670,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
summary,qat,sw,128K,,1,Image.tif_,191346108,,823.756,812.377,849.906,849.906,849.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,1,,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,256K,1,1,Image.tif_,191346108,685.325,,,,,,266.27,0.07,1.83,0.93,97.17,21.89x,9.42M,183M,730,191365120,6896563,0,0,0,0,235,495,730,0,227150,215325910,167444480,47882890,119561590,0,0,0,40880,12410,53290,256,224,65,289,730,730,0,191365120,11684230,26817160,2206340,131380,213020,43988110,5097220,2427520660,3132650,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,256K,2,1,Image.tif_,191346108,674.774,,,,,,270.43,0.02,1.59,0.85,97.54,21.89x,9.42M,183M,730,191365120,6896814,0,0,0,0,242,488,730,0,235990,215325910,167444480,47882890,119561590,0,0,0,40880,12410,53290,256,224,65,289,730,730,0,191365120,12273270,26941270,2185000,139130,230240,44753730,5155620,2421116330,3129610,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,256K,3,1,Image.tif_,191346108,722.869,,,,,,252.44,0.02,1.48,1.01,97.49,21.89x,9.42M,183M,730,191365120,6896641,0,0,0,0,238,492,730,0,231490,215325910,167444480,47882890,119561590,0,0,0,40880,12410,53290,256,224,65,289,730,730,0,191365120,11905010,26440710,2188830,138020,218140,43839560,5141300,2478068850,3133000,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
summary,qat,sw,256K,,1,Image.tif_,191346108,,694.323,685.325,722.869,722.869,722.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,1,,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,1M,1,1,Image.tif_,191346108,652.437,,,,,,279.69,0.02,1.54,1.16,97.27,25.45x,7.66M,183M,183,191889408,6994296,0,0,0,0,62,121,183,0,60200,215885649,167903232,47982783,119920449,0,0,0,40992,11895,52887,256,224,65,289,183,183,0,191889408,20449280,42920990,1344540,69640,67470,67699420,3553640,2462953310,1667210,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,1M,2,1,Image.tif_,191346108,603.209,,,,,,302.52,0.03,1.41,0.90,97.66,25.45x,7.66M,183M,183,191889408,6993322,0,0,0,0,61,122,183,0,61870,215885649,167903232,47982783,119920449,0,0,0,40992,11895,52887,256,224,65,289,183,183,0,191889408,18533430,40716930,1276260,80360,65010,63185340,3410270,2541719410,1594660,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,1M,3,1,Image.tif_,191346108,651.178,,,,,,280.23,0.05,1.47,1.02,97.46,25.48x,7.65M,183M,183,191889408,6991198,0,0,0,0,61,122,183,0,62320,215885649,167903232,47982783,119920449,0,0,0,40992,11895,52887,256,224,65,289,183,183,0,191889408,18129860,39955960,1290910,66680,72190,62263960,3560890,2468754040,1604480,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,12F7D9DCCEC34076F92E0CC
