row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,1M,3,4,Image.tif_,765384432,825.372,,,,,,884.36,0.08,11.38,1.65,86.89,25.35x,30.7M,732M,244,255852544,9975766,0,0,0,0,244,0,244,0,83830,287847532,223870976,63977044,159893932,0,0,62464,54656,15860,70516,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187020,0,11157569,9318386,11149062541,637341,0,0,0,0,0,768,0,0,732,0,244,244,488,0,0,0,0,0,0,0,768,488,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,11.46,8.492481,8.433196,33.43,33.33,66.67,66.67,45779409,45692879
summary,qat,sw,1M,,4,Image.tif_,765384432,,846.853,855.810,859.376,859.376,859.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,,,,,,,,,,
raw,sw,sw,128K,1,4,Image.tif_,765384432,1047.925,,,,,,696.55,0.12,12.82,2.38,84.68,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,12.94,12.174880,12.061976,0.00,na,na,na,na,na
raw,sw,sw,128K,2,4,Image.tif_,765384432,1055.004,,,,,,691.87,0.06,12.70,1.66,85.59,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,12.76,12.086624,12.029790,0.00,na,na,na,na,na
raw,sw,sw,128K,3,4,Image.tif_,765384432,1049.415,,,,,,695.56,0.07,13.00,1.80,85.13,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,13.07,12.314678,12.248724,0.00,na,na,na,na,na
summary,sw,sw,128K,,4,Image.tif_,765384432,,1050.781,1049.415,1055.004,1055.004,1055.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,,,,,,,,,,
raw,sw,sw,256K,1,4,Image.tif_,765384432,984.291,,,,,,741.58,0.05,13.31,1.22,85.43,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,13.36,11.806745,11.762558,0.00,na,na,na,na,na
raw,sw,sw,256K,2,4,Image.tif_,765384432,969.727,,,,,,752.71,0.05,13.23,1.04,85.68,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,13.28,11.562394,11.518861,0.00,na,na,na,na,na
raw,sw,sw,256K,3,4,Image.tif_,765384432,1009.540,,,,,,723.03,0.09,13.09,1.03,85.78,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,13.18,11.946458,11.864881,0.00,na,na,na,na,na
summary,sw,sw,256K,,4,Image.tif_,765384432,,987.853,984.291,1009.540,1009.540,1009.540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,,,,,,,,,,
raw,sw,sw,1M,1,4,Image.tif_,765384432,899.507,,,,,,811.48,0.05,13.94,1.02,84.99,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,13.99,11.298544,11.258163,0.00,na,na,na,na,na
raw,sw,sw,1M,2,4,Image.tif_,765384432,911.673,,,,,,800.65,0.07,13.46,0.95,85.52,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,13.53,11.074831,11.017533,0.00,na,na,na,na,na
raw,sw,sw,1M,3,4,Image.tif_,765384432,938.315,,,,,,777.91,0.07,13.33,1.66,84.95,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,64,13.40,11.288953,11.229981,0.00,na,na,na,na,na
summary,sw,sw,1M,,4,Image.tif_,765384432,,916.498,911.673,938.315,938.315,938.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,,,,,,,,,,
