row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,780.268,,,,,,233.87,0.06,2.35,1.53,96.06,17.11x,12.9M,183M,1460,191365120,6841964,0,0,0,0,485,975,1460,0,405560,215366060,167444480,47924500,119519980,0,0,1460,40880,13140,54020,256,224,65,289,1460,1460,0,191365120,12347180,29775460,2955090,222850,354550,49075880,7383040,2270028630,4293210,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,128K,2,1,Image.tif_,191346108,751.588,,,,,,242.80,0.02,1.72,0.87,97.39,17.11x,12.9M,183M,1460,191365120,6842043,0,0,0,0,485,975,1460,0,411760,215366060,167444480,47924500,119519980,0,0,1460,40880,13140,54020,256,224,65,289,1460,1460,0,191365120,12384030,29404960,2952090,224690,371800,48603150,7240990,2265464170,4284730,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,128K,3,1,Image.tif_,191346108,715.082,,,,,,255.19,0.02,1.91,0.76,97.31,17.11x,12.9M,183M,1460,191365120,6841921,0,0,0,0,490,970,1460,0,413980,215366060,167444480,47924500,119519980,0,0,1460,40880,13140,54020,256,224,65,289,1460,1460,0,191365120,12064480,28076250,2977000,230710,350280,47044980,7295340,2262301160,4282980,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
summary,qat,sw,128K,,1,Image.tif_,191346108,,748.979,751.588,780.268,780.268,780.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,1,,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,1,1,Image.tif_,191346108,660.721,,,,,,276.19,0.02,1.71,0.82,97.44,21.89x,9.42M,183M,730,191365120,6896766,0,0,0,0,237,493,730,0,237330,215325910,167444480,47882890,119561590,0,0,730,40880,12410,53290,256,224,65,289,730,730,0,191365120,11772710,30318530,2189290,144590,213710,47664510,5251400,2388649590,3129740,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,2,1,Image.tif_,191346108,661.569,,,,,,275.83,0.05,1.78,1.36,96.81,21.89x,9.42M,183M,730,191365120,6896770,0,0,0,0,241,489,730,0,226430,215325910,167444480,47882890,119561590,0,0,730,40880,12410,53290,256,224,65,289,730,730,0,191365120,12469240,31233520,2185420,431340,215330,49249610,5225550,2447922870,3126480,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,256K,3,1,Image.tif_,191346108,699.304,,,,,,260.95,0.02,1.51,1.09,97.38,21.89x,9.42M,183M,730,191365120,6896794,0,0,0,0,239,491,730,0,223870,215325910,167444480,47882890,119561590,0,0,730,40880,12410,53290,256,224,65,289,730,730,0,191365120,11899080,31112050,2226620,149240,209140,48586170,5187480,2421221740,3153400,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
summary,qat,sw,256K,,1,Image.tif_,191346108,,673.865,661.569,699.304,699.304,699.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,1,,4,2,4E6670F89115AA129322F75
raw,qat,sw,1M,1,1,Image.tif_,191346108,629.946,,,,,,289.68,0.05,1.50,1.08,97.37,25.48x,7.65M,183M,183,191889408,6991223,0,0,0,0,62,121,183,0,58540,215885649,167903232,47982783,119920449,0,0,183,40992,11895,52887,256,224,65,289,183,183,0,191889408,20152310,38642720,1312130,66910,80370,62945460,3676680,2541236640,1634840,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
raw,qat,sw,1M,2,1,Image.tif_,191346108,627.315,,,,,,290.89,0.05,1.51,0.79,97.65,25.45x,7.66M,183M,183,191889408,6993176,0,0,0,0,63,120,183,0,62130,215885649,167903232,47982783,119920449,0,0,183,40992,11895,52887,256,224,65,289,183,183,0,191889408,19332230,35474950,1311630,70650,64910,58869430,3756640,2486982600,1626090,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,1,4,2,4E6670F89115AA129322F75
