row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,1M,3,4,Image.tif_,765384432,783.191,,,,,,931.99,0.06,10.47,0.73,88.73,25.41x,30.6M,732M,335,351272960,13471940,0,0,0,0,335,0,335,0,104780,395200505,307363840,87837335,219526505,0,0,85760,75040,21775,96815,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307950,0,15896010,13147679,8100104528,991094,0,0,0,0,0,768,0,0,732,0,335,335,397,0,0,0,0,0,0,0,768,397,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,10.53,7.404509,7.362318,45.89,45.77,54.23,54.23,24269073,24179417
summary,qat,sw,1M,,4,Image.tif_,765384432,,887.080,815.993,1062.057,1062.057,1062.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,,,,,,,,,,
raw,sw,sw,128K,1,4,Image.tif_,765384432,1032.009,,,,,,707.29,0.06,13.07,2.73,84.14,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,13.13,12.166017,12.110422,0.00,na,na,na,na,na
raw,sw,sw,128K,2,4,Image.tif_,765384432,1083.681,,,,,,673.56,0.06,12.56,2.04,85.34,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,12.62,12.278944,12.220566,0.00,na,na,na,na,na
raw,sw,sw,128K,3,4,Image.tif_,765384432,1042.107,,,,,,700.43,0.06,12.99,1.89,85.07,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,13.05,12.210207,12.154069,0.00,na,na,na,na,na
summary,sw,sw,128K,,4,Image.tif_,765384432,,1052.599,1042.107,1083.681,1083.681,1083.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,,,,,,,,,,
raw,sw,sw,256K,1,4,Image.tif_,765384432,998.478,,,,,,731.04,0.06,13.21,1.34,85.39,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,13.27,11.896238,11.842449,0.00,na,na,na,na,na
raw,sw,sw,256K,2,4,Image.tif_,765384432,1053.895,,,,,,692.60,0.04,12.65,2.39,84.91,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,12.69,12.007682,11.969833,0.00,na,na,na,na,na
raw,sw,sw,256K,3,4,Image.tif_,765384432,1002.047,,,,,,728.44,0.05,13.18,2.25,84.51,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,13.23,11.902773,11.857789,0.00,na,na,na,na,na
summary,sw,sw,256K,,4,Image.tif_,765384432,,1018.140,1002.047,1053.895,1053.895,1053.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,,,,,,,,,,
raw,sw,sw,1M,1,4,Image.tif_,765384432,855.941,,,,,,852.78,0.07,13.70,1.85,84.37,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,13.77,10.582249,10.528454,0.00,na,na,na,na,na
raw,sw,sw,1M,2,4,Image.tif_,765384432,923.041,,,,,,790.79,0.07,14.33,0.99,84.61,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,14.40,11.933936,11.875924,0.00,na,na,na,na,na
raw,sw,sw,1M,3,4,Image.tif_,765384432,891.471,,,,,,818.79,0.09,14.76,1.52,83.64,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,64,14.85,11.885950,11.813914,0.00,na,na,na,na,na
summary,sw,sw,1M,,4,Image.tif_,765384432,,890.151,891.471,923.041,923.041,923.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,18635F01D8EFD4EBD6C7675,2,2,0,12,,,,,,,,,,
