row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,1M,3,4,Image.tif_,765384432,962.177,,,,,,758.62,0.13,8.80,2.02,89.05,25.45x,30.5M,732M,496,520093696,18898732,0,0,0,0,496,0,496,0,265620,585132688,455081984,130051696,325030288,0,0,126976,111104,32240,143344,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685000,0,26035186,19136656,23528206440,2863543,0,0,0,0,0,1536,0,0,732,0,496,496,236,0,0,0,0,0,0,0,1536,236,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,8.93,7.714480,7.602175,67.95,67.76,32.24,32.24,47532746,47435900
summary,qat,sw,1M,,4,Image.tif_,765384432,,958.740,962.177,974.394,974.394,974.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,128K,1,4,Image.tif_,765384432,1165.226,,,,,,626.43,0.05,13.75,1.74,84.46,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,13.80,14.437416,14.385107,0.00,na,na,na,na,na
raw,sw,sw,128K,2,4,Image.tif_,765384432,1031.553,,,,,,707.60,0.06,15.06,1.48,83.40,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,15.12,14.003724,13.948154,0.00,na,na,na,na,na
raw,sw,sw,128K,3,4,Image.tif_,765384432,1109.716,,,,,,657.76,0.07,15.12,2.05,82.75,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,15.19,15.134561,15.064817,0.00,na,na,na,na,na
summary,sw,sw,128K,,4,Image.tif_,765384432,,1102.165,1109.716,1165.226,1165.226,1165.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,256K,1,4,Image.tif_,765384432,1064.067,,,,,,685.98,0.06,15.40,1.27,83.26,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,15.46,14.769938,14.712617,0.00,na,na,na,na,na
raw,sw,sw,256K,2,4,Image.tif_,765384432,1014.941,,,,,,719.18,0.06,14.77,1.93,83.24,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.83,13.513946,13.459270,0.00,na,na,na,na,na
raw,sw,sw,256K,3,4,Image.tif_,765384432,1036.352,,,,,,704.32,0.08,14.12,1.38,84.42,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.20,13.212830,13.138392,0.00,na,na,na,na,na
summary,sw,sw,256K,,4,Image.tif_,765384432,,1038.453,1036.352,1064.067,1064.067,1064.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,1M,1,4,Image.tif_,765384432,981.868,,,,,,743.41,0.08,14.19,1.36,84.37,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.27,12.579903,12.509378,0.00,na,na,na,na,na
raw,sw,sw,1M,2,4,Image.tif_,765384432,975.302,,,,,,748.41,0.06,13.91,0.83,85.20,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,13.97,12.233078,12.180538,0.00,na,na,na,na,na
raw,sw,sw,1M,3,4,Image.tif_,765384432,951.181,,,,,,767.39,0.08,13.97,0.85,85.10,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.05,11.998852,11.930532,0.00,na,na,na,na,na
summary,sw,sw,1M,,4,Image.tif_,765384432,,969.450,975.302,981.868,981.868,981.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
