row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1883.252,,,,,,387.59,0.02,3.82,3.24,92.91,17.16x,51.5M,730M,5840,765460480,27367574,0,0,0,0,1014,4826,5840,0,1707881,861464240,669777920,191698000,478079920,0,0,186880,0,0,0,256,224,65,289,0,0,0,0,0,0,0,5840,5840,0,861475920,27367574,91017275,5708581,16813471,361491,353021,112815974,26795490,18909402374,21178902,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,128K,2,4,Image.tif_,765384432,1976.896,,,,,,369.23,0.04,3.66,3.22,93.08,17.16x,51.5M,730M,5840,765460480,27367250,0,0,0,0,1059,4781,5840,0,1678881,861464240,669777920,191698000,478079920,0,0,186880,0,0,0,256,224,65,289,0,0,0,0,0,0,0,5840,5840,0,861475920,27367250,92501709,5617202,16900672,342940,354960,114633782,26992696,18907686451,21311024,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,128K,3,4,Image.tif_,765384432,1885.918,,,,,,387.04,0.06,3.88,3.33,92.73,17.16x,51.5M,730M,5840,765460480,27367540,0,0,0,0,1073,4767,5840,0,1690561,861464240,669777920,191698000,478079920,0,0,186880,0,0,0,256,224,65,289,0,0,0,0,0,0,0,5840,5840,0,861475920,27367540,92538695,5711944,16822636,336930,379060,114427366,26900782,18841981488,21224359,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
summary,qat,sw,128K,,4,Image.tif_,765384432,,1915.355,1885.918,1976.896,1976.896,1976.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,1,4,Image.tif_,765384432,1746.979,,,,,,417.82,0.03,3.57,2.54,93.86,21.96x,37.4M,730M,2920,765460480,27586972,0,0,0,0,544,2376,2920,0,900291,861303640,669777920,191531560,478246360,0,0,186880,0,0,0,256,224,65,289,0,0,0,0,0,0,0,2920,2920,0,861309480,27586972,112102679,5062284,13433354,166030,204170,131153576,18853022,19327124050,16539815,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,2,4,Image.tif_,765384432,1775.177,,,,,,411.19,0.04,3.42,2.49,94.06,21.96x,37.4M,730M,2920,765460480,27586950,0,0,0,0,560,2360,2920,0,902360,861303640,669777920,191531560,478246360,0,0,186880,0,0,0,256,224,65,289,0,0,0,0,0,0,0,2920,2920,0,861309480,27586950,106839179,5038958,13351437,163690,198390,125542974,19628495,19463438841,16399301,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,256K,3,4,Image.tif_,765384432,1757.658,,,,,,415.28,0.04,3.42,2.42,94.11,21.96x,37.4M,730M,2920,765460480,27587298,0,0,0,0,532,2388,2920,0,893882,861303640,669777920,191531560,478246360,0,0,186880,0,0,0,256,224,65,289,0,0,0,0,0,0,0,2920,2920,0,861309480,27587298,101540884,4863280,13364078,165550,183690,120012729,18790660,19525951063,16481331,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
summary,qat,sw,256K,,4,Image.tif_,765384432,,1759.938,1757.658,1775.177,1775.177,1775.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,1M,1,4,Image.tif_,765384432,1599.642,,,,,,456.31,0.09,3.61,1.81,94.49,25.56x,30.4M,732M,732,767557632,27973461,0,0,0,0,143,589,732,0,220270,863542596,671612928,191931132,479681796,0,0,187392,0,0,0,256,224,65,289,0,0,0,0,0,0,0,732,732,0,863544060,27973461,195694964,4485313,12399132,38420,84950,210076089,12453904,20131179793,13582552,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
raw,qat,sw,1M,2,4,Image.tif_,765384432,1669.295,,,,,,437.27,0.03,3.30,2.03,94.64,25.56x,30.4M,732M,732,767557632,27974857,0,0,0,0,125,607,732,0,227350,863542596,671612928,191931132,479681796,0,0,187392,0,0,0,256,224,65,289,0,0,0,0,0,0,0,732,732,0,863544060,27974857,203869593,4494271,9781990,38350,81070,218823880,12608926,19954446340,11023840,0,0,0,0,0,50,0,1,yes,4,dynamic,1048576,48,0,1,1,4,2,90B713026E013F5B59AD0AC
