row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,32K,3,4,Image.tif_,765384432,1802.643,,,,,,404.92,0.04,11.50,6.20,82.26,6.91x,140M,731M,9021,295600128,10794994,0,0,0,0,8597,424,9021,0,2027930,333046299,258650112,74414229,184235883,0,0,72168,63147,27063,90210,8,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31129613,0,87388696,38269670,14324634998,24741568,0,0,0,0,0,96,0,0,23360,0,9021,9021,14339,0,0,0,0,0,0,0,96,14339,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,32K,,4,Image.tif_,765384432,,1857.981,1812.833,1958.466,1958.466,1958.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,64K,1,4,Image.tif_,765384432,1469.784,,,,,,496.62,0.10,12.04,4.03,83.83,11.60x,80.9M,730M,3495,229048320,8623017,0,0,0,0,3456,39,3495,0,933772,257871585,200417280,57461295,142955985,0,0,55920,48930,17475,66405,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107555875,0,143454728,21195774,13040978824,16212114,0,0,0,0,0,96,0,0,11680,0,3495,3495,8185,0,0,0,0,0,0,0,96,8185,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,64K,2,4,Image.tif_,765384432,1445.234,,,,,,505.06,0.04,10.26,4.53,85.16,11.59x,80.9M,730M,3361,220266496,8374724,0,0,0,0,3306,55,3361,0,822800,247984663,192733184,55258201,137474983,0,0,53776,47054,16805,63859,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520485,0,40383366,18406020,10433046515,9881306,0,0,0,0,0,96,0,0,11680,0,3361,3361,8319,0,0,0,0,0,0,0,96,8319,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,64K,3,4,Image.tif_,765384432,1216.464,,,,,,600.04,0.06,11.63,3.75,84.56,11.59x,80.9M,730M,3272,214433792,8330093,0,0,0,0,3243,29,3272,0,788661,241417976,187629568,53794952,133834616,0,0,52352,45808,16360,62168,16,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11289975,0,36738758,17544748,9611189714,8528614,0,0,0,0,0,96,0,0,11680,0,3272,3272,8408,0,0,0,0,0,0,0,96,8408,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,64K,,4,Image.tif_,765384432,,1377.161,1445.234,1469.784,1469.784,1469.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,128K,1,4,Image.tif_,765384432,1141.273,,,,,,639.57,0.05,10.89,2.46,86.59,16.99x,51.8M,730M,1478,193724416,7635159,0,0,0,0,1448,30,1478,0,413531,218021258,169508864,48515350,120993514,0,0,47296,41384,13302,54686,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22004390,0,38118012,11381394,9377967117,4216233,0,0,0,0,0,96,0,0,5840,0,1478,1478,4362,0,0,0,0,0,0,0,96,4362,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,128K,2,4,Image.tif_,765384432,1079.598,,,,,,676.11,0.07,11.02,2.43,86.48,16.98x,51.8M,730M,1446,189530112,7300037,0,0,0,0,1446,0,1446,0,367140,213300906,165838848,47464950,118373898,0,0,46272,40488,13014,53502,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6702507,0,20977236,10893476,8927930642,3817901,0,0,0,0,0,96,0,0,5840,0,1446,1446,4394,0,0,0,0,0,0,0,96,4394,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
raw,qat,sw,128K,3,4,Image.tif_,765384432,1050.523,,,,,,694.82,0.12,11.75,2.34,85.79,16.97x,51.8M,730M,1404,184025088,7148529,0,0,0,0,1403,1,1404,0,346680,207105444,161021952,46086300,114935652,0,0,44928,39312,12636,51948,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597301,0,16796806,10520325,8719745734,3379851,0,0,0,0,0,96,0,0,5840,0,1404,1404,4436,0,0,0,0,0,0,0,96,4436,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,DE2F1DB9C0B6720727096E0
summary,qat,sw,128K,,4,Image.tif_,765384432,,1090.465,1079.598,1141.273,1141.273,1141.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,DE2F1DB9C0B6720727096E0
