row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1382.344,,,,,,528.04,0.05,4.29,1.81,93.85,17.16x,51.5M,730M,5840,765460480,27367693,0,0,0,0,5580,260,5840,0,1721730,861464240,669777920,191698000,478079920,0,0,186880,5840,0,5840,256,224,65,289,0,0,0,0,0,0,0,5840,5840,0,5576,264,38943432,27367693,5248700,7509430,804980,344770,374820,23439410,26552610,19255959900,2832290,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,2,4,Image.tif_,765384432,1301.407,,,,,,560.88,0.06,4.39,2.09,93.46,17.16x,51.5M,730M,5840,765460480,27367508,0,0,0,0,5681,159,5840,0,1707290,861464240,669777920,191698000,478079920,0,0,186880,5840,0,5840,256,224,65,289,0,0,0,0,0,0,0,5840,5840,0,5681,159,23454567,27367508,3129850,8037100,501240,342300,379630,21042280,26493540,19162619440,2466770,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,3,4,Image.tif_,765384432,1288.380,,,,,,566.55,0.06,4.66,2.91,92.37,17.16x,51.5M,730M,5840,765460480,27367236,0,0,0,0,5682,158,5840,0,1750050,861464240,669777920,191698000,478079920,0,0,186880,5840,0,5840,256,224,65,289,0,0,0,0,0,0,0,5840,5840,0,5682,158,23307054,27367236,3059130,7645710,487580,338300,366340,21047930,26607570,18819925540,2478760,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,128K,,4,Image.tif_,765384432,,1324.044,1301.407,1382.344,1382.344,1382.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,1,4,Image.tif_,765384432,1292.702,,,,,,564.65,0.07,3.83,1.46,94.64,21.96x,37.4M,730M,2920,765460480,27586803,0,0,0,0,2855,65,2920,0,902560,861303640,669777920,191531560,478246360,0,0,186880,2920,0,2920,256,224,65,289,0,0,0,0,0,0,0,2920,2920,0,2851,69,20352861,27586803,2808840,6051050,316740,174900,187180,18246970,18518330,20006002430,1787740,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,2,4,Image.tif_,765384432,1236.036,,,,,,590.54,0.11,4.01,1.77,94.10,21.96x,37.4M,730M,2920,765460480,27586919,0,0,0,0,2780,140,2920,0,904960,861303640,669777920,191531560,478246360,0,0,186880,2920,0,2920,256,224,65,289,0,0,0,0,0,0,0,2920,2920,0,2780,140,41295660,27586919,5493780,6630220,663650,174590,189150,20893310,18480200,20061114350,2232790,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,3,4,Image.tif_,765384432,1236.981,,,,,,590.09,0.04,3.52,1.80,94.64,21.96x,37.4M,730M,2920,765460480,27586734,0,0,0,0,2878,42,2920,0,911090,861303640,669777920,191531560,478246360,0,0,186880,2920,0,2920,256,224,65,289,0,0,0,0,0,0,0,2920,2920,0,2878,42,12388698,27586734,1665090,5960560,190390,164100,206420,16844250,18454710,20102066640,1689370,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,256K,,4,Image.tif_,765384432,,1255.240,1236.981,1292.702,1292.702,1292.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,1,,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,1,4,Image.tif_,765384432,1185.448,,,,,,615.74,0.05,3.20,1.54,95.21,25.56x,30.4M,732M,732,767557632,27973466,0,0,0,0,685,47,732,0,222860,863542596,671612928,191931132,479681796,0,0,187392,732,0,732,256,224,65,289,0,0,0,0,0,0,0,732,732,0,685,47,55446135,27973466,8949520,7029230,1437590,38270,43330,20646020,11938740,20155806330,1872270,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,2,4,Image.tif_,765384432,1198.275,,,,,,609.15,0.06,3.22,1.79,94.92,25.56x,30.4M,732M,732,767557632,27975131,0,0,0,0,728,4,732,0,244710,863542596,671612928,191931132,479681796,0,0,187392,732,0,732,256,224,65,289,0,0,0,0,0,0,0,732,732,0,724,8,9437640,27975131,1622010,7129480,140670,38450,43390,13073910,11787530,20397587590,512090,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,1,4,2,51222238CFF46E75D24E091
