row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,903.064,,,,,,202.07,0.02,1.53,0.97,97.48,17.11x,12.9M,183M,1460,191365120,6842084,0,0,0,0,475,985,1460,0,395120,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,394140,383230,8654110,9422910,2302730950,992990,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,128K,2,1,Image.tif_,191346108,790.803,,,,,,230.76,0.02,1.69,0.96,97.33,17.11x,12.9M,183M,1460,191365120,6842021,0,0,0,0,482,978,1460,0,411090,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,221000,398650,8681460,9472470,2312922350,1055720,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,128K,3,1,Image.tif_,191346108,755.822,,,,,,241.43,0.04,1.77,0.78,97.41,17.11x,12.9M,183M,1460,191365120,6841991,0,0,0,0,472,988,1460,0,403650,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,229150,397680,8685910,9520620,2304333650,1032930,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
summary,qat,sw,128K,,1,Image.tif_,191346108,,816.563,790.803,903.064,903.064,903.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,115945225BD3675428CDB9E
raw,qat,sw,256K,1,1,Image.tif_,191346108,687.447,,,,,,265.45,0.00,1.58,0.93,97.49,21.89x,9.42M,183M,730,191365120,6896708,0,0,0,0,240,490,730,0,218170,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,127860,212760,8059430,7754960,2404462550,795520,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,256K,2,1,Image.tif_,191346108,730.658,,,,,,249.75,0.04,1.34,1.04,97.58,21.89x,9.42M,183M,730,191365120,6896527,0,0,0,0,243,487,730,0,222370,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,260170,218230,7898360,7657900,2434051130,799680,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,256K,3,1,Image.tif_,191346108,686.017,,,,,,266.00,0.02,1.45,0.95,97.58,21.90x,9.41M,183M,730,191365120,6896848,0,0,0,0,240,490,730,0,228770,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,410430,235500,7855230,7694720,2479164140,809780,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
summary,qat,sw,256K,,1,Image.tif_,191346108,,701.374,687.447,730.658,730.658,730.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,115945225BD3675428CDB9E
raw,qat,sw,1M,1,1,Image.tif_,191346108,613.259,,,,,,297.56,0.08,1.62,0.78,97.52,25.45x,7.66M,183M,183,191889408,6995129,0,0,0,0,62,121,183,0,62440,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,38684400,62960,6531600,5989930,2505640320,220040,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,1M,2,1,Image.tif_,191346108,631.552,,,,,,288.94,0.05,1.40,0.83,97.72,25.45x,7.66M,183M,183,191889408,6994277,0,0,0,0,62,121,183,0,70830,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,6363780,62810,6529050,5978610,2531517330,221550,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
raw,qat,sw,1M,3,1,Image.tif_,191346108,632.117,,,,,,288.68,0.02,1.32,0.98,97.67,25.45x,7.66M,183M,183,191889408,6994256,0,0,0,0,63,120,183,0,61770,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,2836550,64250,6634130,6077260,2561859990,215930,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,115945225BD3675428CDB9E
summary,qat,sw,1M,,1,Image.tif_,191346108,,625.643,631.552,632.117,632.117,632.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,115945225BD3675428CDB9E
