row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1210.870,,,,,,602.81,0.05,4.41,1.68,93.86,16.92x,51.8M,730M,5840,765460480,27813886,0,0,0,0,5687,153,5840,0,1656930,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012250,1583251,32391030,39670374,16318039372,2972322,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,2,4,Image.tif_,765384432,1168.324,,,,,,624.76,0.04,4.70,1.61,93.66,16.92x,51.8M,730M,5840,765460480,27813882,0,0,0,0,5697,143,5840,0,1704273,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302020,1610570,32549470,40103590,16310118944,2927573,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,3,4,Image.tif_,765384432,1245.544,,,,,,586.03,0.05,4.37,1.93,93.65,16.92x,51.8M,730M,5840,765460480,27813883,0,0,0,0,5728,112,5840,0,1674732,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564590,1593180,32577841,40192753,16299175316,2933540,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,128K,,4,Image.tif_,765384432,,1208.246,1210.870,1245.544,1245.544,1245.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,1,4,Image.tif_,765384432,1127.679,,,,,,647.28,0.06,3.97,1.65,94.33,21.70x,37.8M,730M,2920,765460480,28020148,0,0,0,0,2859,61,2920,0,905970,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636620,893260,29635387,31264884,16145715925,2688322,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,2,4,Image.tif_,765384432,1150.069,,,,,,634.68,0.07,3.76,1.78,94.40,21.70x,37.8M,730M,2920,765460480,28020150,0,0,0,0,2841,79,2920,0,897721,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067920,897370,30069336,31545245,16152117623,2702300,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,3,4,Image.tif_,765384432,1115.760,,,,,,654.20,0.04,4.11,1.47,94.38,21.70x,37.8M,730M,2920,765460480,28020145,0,0,0,0,2834,86,2920,0,903190,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801760,902032,29925599,31453859,16140422356,2735093,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,256K,,4,Image.tif_,765384432,,1131.169,1127.679,1150.069,1150.069,1150.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,1,4,Image.tif_,765384432,1072.793,,,,,,680.40,0.13,3.90,1.62,94.34,25.25x,30.7M,732M,732,767557632,28460223,0,0,0,0,719,13,732,0,224730,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8980863,259440,23526200,23270149,15913557677,674611,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,2,4,Image.tif_,765384432,1126.092,,,,,,648.20,0.06,3.43,1.70,94.82,25.25x,30.7M,732M,732,767557632,28460224,0,0,0,0,723,9,732,0,244800,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154870,248750,23409287,23151778,15901421527,644630,0,0,0,0,0,50,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
