row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1291.884,,,,,,1130.02,0.17,11.04,2.95,85.84,25.51x,60.9M,1.43G,1102,1155530752,43167066,0,0,0,0,1102,0,1102,0,393820,1300032706,1011089408,288945502,722143906,0,0,282112,246848,71630,318478,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8558080,0,58039540,41478120,31348089510,3558060,0,0,0,0,0,1280,0,0,1471,0,1102,1102,369,0,0,0,0,0,0,0,1280,369,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,11.21,6.501287,6.402695,75.49,74.92,25.08,25.08,28540077,28446542
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1370.369,,,,,,1065.30,0.10,12.32,2.90,84.67,25.46x,61.0M,1.43G,874,916455424,34895408,0,0,0,0,874,0,874,0,424540,1031060422,801898496,229163674,572734822,0,0,223744,195776,56810,252586,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837880,0,42571860,34168740,31972782130,3450330,0,0,0,0,0,1280,0,0,1472,0,874,874,598,0,0,0,0,0,0,0,1280,598,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,12.42,7.640633,7.579114,59.87,59.38,40.62,40.62,36673882,36582131
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1289.727,,,,,,1131.91,0.11,13.08,3.12,83.69,25.43x,61.1M,1.43G,798,836763648,30788928,0,0,0,0,798,0,798,0,277200,941402994,732168192,209236398,522931794,0,0,204288,178752,51870,230622,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599890,0,36181000,30145220,29291695790,2378150,0,0,0,0,0,1280,0,0,1472,0,798,798,674,0,0,0,0,0,0,0,1280,674,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,13.19,7.636825,7.573136,54.66,54.21,45.79,45.79,36792481,36706386
summary,qat,sw,1M,,8,Image.tif_,1530768864,,1317.327,1291.884,1370.369,1370.369,1370.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,1M,1,8,Image.tif_,1530768864,1326.325,,,,,,1100.68,0.11,20.01,2.55,77.33,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,20.12,11.979761,11.914265,0.00,na,na,na,na,na
raw,sw,sw,1M,2,8,Image.tif_,1530768864,1428.105,,,,,,1022.23,0.10,21.36,2.45,76.08,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,21.46,13.758151,13.694041,0.00,na,na,na,na,na
raw,sw,sw,1M,3,8,Image.tif_,1530768864,1445.594,,,,,,1009.87,0.15,21.61,2.29,75.95,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,21.76,14.121325,14.023981,0.00,na,na,na,na,na
summary,sw,sw,1M,,8,Image.tif_,1530768864,,1400.008,1428.105,1445.594,1445.594,1445.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,160,fixed,,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,,,,,,,,,,
