row_type,mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,128K,1,4,Image.tif_,765384432,1322.589,,,,,,551.89,0.05,3.10,1.60,95.25,17.16x,51.5M,730M,5840,765460480,27368095,5549,41848832,727318528,0,7003,4386,14925660,1936600,41397400,44401950,14240838640,3834970,14157300,22552040,1200788450,1379690,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,2,4,Image.tif_,765384432,1309.607,,,,,,557.36,0.06,2.99,2.08,94.87,17.16x,51.5M,730M,5840,765460480,27367238,5705,43466752,747765760,0,6788,4757,7064610,2428490,41904030,44839360,19175834870,3952180,14479590,24459500,1186068860,1313330,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,3,4,Image.tif_,765384432,1337.056,,,,,,545.92,0.06,3.15,1.88,94.91,17.16x,51.5M,730M,5840,765460480,27367703,5666,43249664,742653952,0,6713,4793,6554570,3352080,41977470,44908050,19279986120,4069840,14192950,24036820,1193034560,1382620,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,128K,,4,Image.tif_,765384432,,1323.084,1322.589,1337.056,1337.056,1337.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,1,4,Image.tif_,765384432,1283.945,,,,,,568.50,0.05,2.52,1.46,95.98,21.96x,37.4M,730M,2920,765460480,27587006,2841,33861632,744751104,0,3362,2399,22281120,1392700,38533450,37106590,19800972810,3251590,12926500,17295360,1214804440,841830,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,2,4,Image.tif_,765384432,1300.122,,,,,,561.43,0.12,2.75,1.66,95.48,21.96x,37.4M,730M,2920,765460480,27586979,2805,33492992,735313920,0,3328,2397,3893810,2659050,38428490,37238640,20002686770,3282020,13048930,17111870,1161200270,711870,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,3,4,Image.tif_,765384432,1264.469,,,,,,577.26,0.05,2.53,1.50,95.92,21.96x,37.4M,730M,2920,765460480,27586578,2825,33681408,740556800,0,3344,2401,3273900,2480990,37904460,36779520,20041357350,3203290,13059300,16816410,1255026660,850160,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,256K,,4,Image.tif_,765384432,,1282.845,1283.945,1300.122,1300.122,1300.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,1,4,Image.tif_,765384432,1241.001,,,,,,588.18,0.04,1.98,1.63,96.35,25.56x,30.4M,732M,732,767557632,27971676,713,29437952,747634688,0,851,594,63969330,295760,31554580,29255990,20088742300,777090,10501160,11456420,1107075010,267290,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,2,4,Image.tif_,765384432,1245.404,,,,,,586.10,0.04,1.90,1.60,96.46,25.57x,30.4M,732M,732,767557632,27971693,715,29229056,749731840,0,853,594,23346440,995290,30755050,28722090,20047423220,796910,10578430,11395780,1040763380,272020,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,3,4,Image.tif_,765384432,1243.158,,,,,,587.16,0.04,1.93,1.65,96.38,25.56x,30.4M,732M,732,767557632,27975209,717,29560832,751828992,0,845,604,15432130,1002810,31184780,29196550,20155955460,823890,10646810,11642000,1109608700,277060,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,1M,,4,Image.tif_,765384432,,1243.188,1243.158,1245.404,1245.404,1245.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
