row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_effective_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_effective_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_effective_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_effective_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_effective_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_effective_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_effective_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_effective_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_effective_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_ratio_profile,zfs_qat_decompress_disable,zfs_qat_effective_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,profile,1M,3,4,Image.tif_,765384432,1034.141,,,,,,705.83,0.06,2.25,1.82,95.87,25.25x,30.7M,732M,732,767557632,28460224,715,29822976,749731840,0,1447,0,732,0,248210,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5194531,246940,25442083,24576212,7724719862,655720,10626274,11557777,969256788,291611,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,2.31,2.144825,2.089116,100.28,na,na,na,10622123,10552896
summary,qat,profile,1M,,4,Image.tif_,765384432,,1009.094,998.034,1034.141,1034.141,1034.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,sw,profile,128K,1,4,Image.tif_,765384432,1111.430,,,,,,656.75,0.06,12.56,2.17,85.22,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,12.62,12.593362,12.533489,0.00,na,na,na,na,na
raw,sw,profile,128K,2,4,Image.tif_,765384432,1060.764,,,,,,688.11,0.06,13.13,3.11,83.70,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.19,12.562145,12.505001,0.00,na,na,na,na,na
raw,sw,profile,128K,3,4,Image.tif_,765384432,1081.223,,,,,,675.09,0.06,12.50,2.53,84.92,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,12.56,12.192847,12.134601,0.00,na,na,na,na,na
summary,sw,profile,128K,,4,Image.tif_,765384432,,1084.472,1081.223,1111.430,1111.430,1111.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,sw,profile,256K,1,4,Image.tif_,765384432,991.306,,,,,,736.33,0.05,11.92,1.29,86.75,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,11.97,10.653740,10.609238,0.00,na,na,na,na,na
raw,sw,profile,256K,2,4,Image.tif_,765384432,954.181,,,,,,764.98,0.07,13.55,1.35,85.03,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.62,11.668314,11.608344,0.00,na,na,na,na,na
raw,sw,profile,256K,3,4,Image.tif_,765384432,986.759,,,,,,739.72,0.08,13.25,1.12,85.55,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.33,11.809771,11.738894,0.00,na,na,na,na,na
summary,sw,profile,256K,,4,Image.tif_,765384432,,977.415,986.759,991.306,991.306,991.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
raw,sw,profile,1M,1,4,Image.tif_,765384432,941.292,,,,,,775.45,0.08,13.08,1.16,85.68,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.16,11.121938,11.054328,0.00,na,na,na,na,na
raw,sw,profile,1M,2,4,Image.tif_,765384432,928.372,,,,,,786.24,0.07,13.30,2.13,84.50,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.37,11.144322,11.085975,0.00,na,na,na,na,na
raw,sw,profile,1M,3,4,Image.tif_,765384432,913.665,,,,,,798.90,0.08,13.89,1.19,84.84,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,profile,0,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,64,13.97,11.459974,11.394347,0.00,na,na,na,na,na
summary,sw,profile,1M,,4,Image.tif_,765384432,,927.776,928.372,941.292,941.292,941.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,62EF6B1D2C6A51421EB3DD2,2,2,0,12,12,,,,,,,,,,
