row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1642.549,,,,,,888.77,0.10,13.50,2.93,83.46,25.49x,60.9M,1.43G,908,952107008,35060451,0,0,0,0,908,0,908,0,348000,1071170324,833093632,238078508,595015124,0,0,232448,203392,59020,262412,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801430,0,46064730,37496250,23727461010,5879650,0,0,0,0,0,1280,0,0,1472,0,908,908,564,0,0,0,0,0,0,0,1280,564,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,13.60,10.028303,9.954566,62.20,61.68,38.32,38.32,26230068,26131565
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1544.029,,,,,,945.48,0.10,12.71,2.61,84.58,25.45x,61.0M,1.43G,832,872415232,30449121,0,0,0,0,832,0,832,0,329890,981512896,763363328,218151232,545212096,0,0,212992,186368,54080,240448,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169840,0,41804350,33776680,21738903060,4098050,0,0,0,0,0,1280,0,0,1472,0,832,832,640,0,0,0,0,0,0,0,1280,640,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,12.81,8.879220,8.809905,56.99,56.52,43.48,43.48,26224257,26128489
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1484.320,,,,,,983.52,0.11,10.79,2.58,86.53,25.51x,60.9M,1.43G,957,1003487232,37545200,0,0,0,0,957,0,957,0,304420,1128975771,878051328,250926357,627124971,0,0,244992,214368,62205,276573,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447490,0,43512510,35737170,23097389100,3355770,0,0,0,0,0,1280,0,0,1472,0,957,957,515,0,0,0,0,0,0,0,1280,515,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,10.90,7.263137,7.189840,65.55,65.01,34.99,34.99,24221520,24135203
raw,qat,sw,1M,4,8,Image.tif_,1530768864,1491.570,,,,,,978.74,0.09,12.23,2.81,84.87,25.46x,61.0M,1.43G,882,924844032,34333086,0,0,0,0,882,0,882,0,360940,1040498046,809238528,231261282,577977246,0,0,225792,197568,57330,254898,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188250,0,43103650,35489560,22875465940,3566570,0,0,0,0,0,1280,0,0,1472,0,882,882,590,0,0,0,0,0,0,0,1280,590,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,12.32,8.249442,8.189178,60.42,59.92,40.08,40.08,26029054,25935902
raw,qat,sw,1M,5,8,Image.tif_,1530768864,1349.734,,,,,,1081.59,0.16,15.15,2.61,82.07,25.42x,61.1M,1.43G,723,758120448,28164035,0,0,0,0,723,0,723,0,271160,852925269,663355392,189571323,473784069,0,0,185088,161952,46995,208947,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114330,0,37352610,29496260,18779151380,4804560,0,0,0,0,0,1280,0,0,1470,0,723,723,747,0,0,0,0,0,0,0,1280,747,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,15.31,9.276702,9.179754,49.53,49.18,50.82,50.82,26073036,25973930
raw,qat,sw,1M,6,8,Image.tif_,1530768864,1450.961,,,,,,1006.13,0.12,14.15,2.66,83.07,25.44x,61.1M,1.43G,741,776994816,30599895,0,0,0,0,741,0,741,0,282460,874159923,679870464,194290941,485579523,0,0,189696,165984,48165,214149,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053680,0,38742330,30054210,19599534480,4751780,0,0,0,0,0,1280,0,0,1472,0,741,741,731,0,0,0,0,0,0,0,1280,731,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,14.27,9.295012,9.216848,50.76,50.34,49.66,49.66,26549370,26450114
summary,qat,sw,1M,,8,Image.tif_,1530768864,,1493.861,1484.320,1642.549,1642.549,1642.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,1M,1,8,Image.tif_,1530768864,1527.595,,,,,,955.66,0.08,19.02,3.23,77.67,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,19.10,13.098206,13.043344,0.00,na,na,na,na,na
raw,sw,sw,1M,2,8,Image.tif_,1530768864,1400.906,,,,,,1042.08,0.08,18.87,3.10,77.95,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,18.95,11.917590,11.867278,0.00,na,na,na,na,na
raw,sw,sw,1M,3,8,Image.tif_,1530768864,1512.780,,,,,,965.01,0.13,18.23,2.94,78.70,25.28x,61.5M,1.43G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,fixed,1,0,6,3113C7A062DD66A0FCD30A7,2,2,0,12,12,64,18.36,12.468628,12.380343,0.00,na,na,na,na,na
