row_type,mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,128K,1,1,Image.tif_,191346108,883.839,,,,,,206.47,0.02,1.32,0.90,97.77,17.11x,12.9M,183M,1460,191365120,6842017,1290,9748480,169082880,0,1768,982,2491321,416950,10159834,11219843,2304848168,851780,2776153,5063663,223158508,89460,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,2,1,Image.tif_,191346108,780.051,,,,,,233.94,0.04,1.52,0.80,97.65,17.11x,12.9M,183M,1460,191365120,6842103,1369,10444800,179437568,0,1853,976,1833640,506720,10094874,11324398,2316506874,861350,2940120,5414565,236544476,95150,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,128K,3,1,Image.tif_,191346108,830.267,,,,,,219.79,0.02,1.24,0.97,97.77,17.11x,12.9M,183M,1460,191365120,6841887,1347,10252288,176553984,0,1821,986,4210630,460220,10076528,11242951,2298060253,800780,2486830,4780882,232586747,82290,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,128K,,1,Image.tif_,191346108,,831.386,830.267,883.839,883.839,883.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,1,1,Image.tif_,191346108,678.038,,,,,,269.13,0.05,1.24,0.69,98.03,21.89x,9.42M,183M,730,191365120,6896795,663,7823360,173801472,0,907,486,14758287,280780,9467207,9403635,2384608711,761672,2452463,3413740,202332976,108550,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,2,1,Image.tif_,191346108,711.976,,,,,,256.30,0.02,1.16,1.05,97.78,21.89x,9.42M,183M,730,191365120,6896772,659,7983104,172752896,0,894,495,5433953,261100,9501453,9422154,2440968547,748440,2426482,3575431,203639100,97550,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,256K,3,1,Image.tif_,191346108,732.777,,,,,,249.03,0.02,0.98,0.89,98.11,21.90x,9.41M,183M,730,191365120,6896689,643,7700480,168558592,0,880,493,2285900,260380,9550995,9385026,2461774834,768500,2392441,3461140,197671838,95800,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,256K,,1,Image.tif_,191346108,,707.597,711.976,732.777,732.777,732.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,1,1,Image.tif_,191346108,635.340,,,,,,287.22,0.02,1.00,1.54,97.44,25.45x,7.66M,183M,183,191889408,6994162,147,5885952,154140672,0,206,124,17862860,73430,8135001,7663303,2487857556,216420,2091442,2235742,159198680,47200,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,2,1,Image.tif_,191346108,611.520,,,,,,298.41,0.05,0.99,0.89,98.07,25.48x,7.65M,183M,183,191889408,6992262,160,6606848,167772160,0,219,124,5993596,67500,8138391,7783291,2568309836,205640,2458041,2629491,173392296,54820,yes,4,1048576,48,9005FF9E36B658359545E79
raw,qat,1M,3,1,Image.tif_,191346108,606.246,,,,,,301.00,0.03,0.95,0.82,98.21,25.45x,7.66M,183M,183,191889408,6994151,151,5771264,158334976,0,213,121,8167177,71901,7993912,7324470,2514805814,220060,2073610,2294511,162177881,44960,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,1M,,1,Image.tif_,191346108,,617.702,611.520,635.340,635.340,635.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
