Results: /root/zfs-qat-step5-src-coalesce-sync-src0-jobs8-20260522.csv
Source: /nvme_scratch/source/2021-09-05/Scanned Documents/Image.tif (191346108 bytes)
Modes: qat sw
Verify mode: sw
Records: 64K 128K 256K 512K 1M
Iterations: 2
Jobs: 8
raw,qat,sw,64K,1,8,Image.tif_,1530768864,1750.141,,,,,,834.14,0.08,9.27,5.58,85.06,11.59x,162M,1.43G,23360,1530920960,55663747,0,0,0,0,23360,0,23360,0,5174590,1723570880,1339555840,384061760,955494080,0,0,373760,327040,116800,443840,256,224,65,289,23360,23360,0,23360,0,23360,0,0,23360,9693250,7062080,0,0,6022230,4325740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5403520,4186120,111336590,140272750,14964364260,18529030,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,23360,23360,0,0,0,23360,23360,0,65738980,17600572,14817940422,17156373,42255874,14967608948,634329,640736,yes,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,64,9.35,7.346067,7.283213,100.01,na,na,na,10434591,10249565,4766.121,6004.827,640597.785,793.195,414.951,302.315,0.000,0.000,257.801,185.177,16.000,19.000,73783.000,16441.000,100.00,0.00,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,9,0,0,263238508593,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,64K,2,8,Image.tif_,1530768864,1794.452,,,,,,813.54,0.09,8.77,6.16,84.98,11.59x,162M,1.43G,23360,1530920960,55663803,0,0,0,0,23360,0,23360,0,5251880,1723570880,1339555840,384061760,955494080,0,0,373760,327040,116800,443840,256,224,65,289,23360,23360,0,23360,0,23360,0,0,23360,9179840,6961080,0,0,6132820,4288510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5447200,4215330,111746910,142441870,14836849530,18449080,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,23360,23360,0,0,0,23360,23360,0,66575218,17978112,14688251662,17292299,42681915,14839707802,628777,635261,yes,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,64,8.86,7.137330,7.064829,100.01,na,na,na,10348964,10162226,4783.686,6097.683,635139.107,789.772,392.973,297.991,0.000,0.000,262.535,183.583,16.000,19.000,73783.000,16441.000,100.00,0.00,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,266241371003,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,64K,,8,Image.tif_,1530768864,,1772.296,1750.141,1794.452,1794.452,1794.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,128K,1,8,Image.tif_,1530768864,1558.626,,,,,,936.63,0.11,7.07,4.16,88.66,16.93x,104M,1.43G,11684,1531445248,55649738,0,0,0,0,11684,0,11684,0,2879470,1723518524,1340014592,383527300,956487292,0,0,373888,327152,105156,432308,256,224,65,289,11684,11684,0,11684,0,11684,0,0,11684,3881680,3684870,0,0,2669230,2223510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2936920,2599970,79198760,93352180,15561583460,9504760,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,11684,11684,0,0,0,11684,11684,0,48681378,8265937,15465652094,8559400,19150752,15553955257,1323660,1331218,yes,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,64,7.18,5.023849,4.946882,100.04,na,na,na,10779623,10654970,6778.394,7989.745,1331871.231,813.485,332.222,315.377,0.000,0.000,228.452,190.304,32.000,37.000,147511.000,32825.000,100.00,0.00,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,269176329323,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,128K,2,8,Image.tif_,1530768864,1487.892,,,,,,981.16,0.07,7.72,4.34,87.86,16.93x,104M,1.43G,11686,1531707392,55652505,0,0,0,0,11686,0,11686,0,2875590,1723813546,1340243968,383592950,956651018,0,0,373952,327208,105174,432382,256,224,65,289,11686,11686,0,11686,0,11686,0,0,11686,3871480,3742130,0,0,2751630,2178740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883870,2585160,79123130,93046910,15251009090,9487830,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,11686,11686,0,0,0,11686,11686,0,48512309,8277873,15155725362,8342188,19038914,15243442480,1296913,1304419,yes,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,64,7.79,5.203303,5.156546,100.06,na,na,na,10564893,10440533,6770.762,7962.255,1305066.669,811.897,331.292,320.223,0.000,0.000,235.464,186.440,32.000,37.000,147511.000,32825.000,100.00,0.00,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,271923613573,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,128K,,8,Image.tif_,1530768864,,1523.259,1487.892,1558.626,1558.626,1558.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,256K,1,8,Image.tif_,1530768864,1433.463,,,,,,1018.41,0.17,6.77,3.70,89.36,21.71x,75.6M,1.43G,5846,1532493824,56073244,0,0,0,0,5846,0,5846,0,1595400,1724377082,1340932096,383456678,957475418,0,0,374144,327376,99382,426758,256,224,65,289,5846,5846,0,0,5846,0,5846,0,5846,6774040,5086080,0,0,1121560,840060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572710,1496770,69903100,69861730,15502448860,9069490,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,5846,5846,0,0,0,5846,5846,0,40752752,3979333,15431103972,4474777,10224369,15492444415,2639600,2650093,yes,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,64,6.94,4.465974,4.356577,100.11,na,na,na,10709055,10607218,11957.424,11950.347,2651804.458,1551.401,1158.748,870.010,0.000,0.000,191.851,143.698,64.000,73.000,294967.000,65593.000,100.00,0.00,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,274657065863,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
raw,qat,sw,256K,2,8,Image.tif_,1530768864,1463.009,,,,,,997.84,0.11,6.33,3.68,89.89,21.71x,75.6M,1.43G,5844,1531969536,56070718,0,0,0,0,5844,0,5844,0,1639980,1723787148,1340473344,383325492,957147852,0,0,374016,327264,99348,426612,256,224,65,289,5844,5844,0,0,5844,0,5844,0,5844,6912400,5339150,0,0,1169930,902540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629570,1523750,70289160,70265250,15440500900,9401000,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,5844,5844,0,0,0,5844,5844,0,40844819,4127547,15368863573,4369612,9979597,15430086751,2629853,2640329,yes,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,64,6.44,4.229637,4.157392,100.08,na,na,na,10671086,10568447,12027.577,12023.486,2642111.721,1608.658,1182.820,913.612,0.000,0.000,200.193,154.439,64.000,73.000,294967.000,65593.000,100.00,0.00,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,277304466653,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
summary,qat,sw,256K,,8,Image.tif_,1530768864,,1448.236,1433.463,1463.009,1463.009,1463.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,,,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,,,,,profile,0,,,,,,,
raw,qat,sw,512K,1,8,Image.tif_,1530768864,1477.809,,,,,,987.85,0.10,5.99,3.27,90.65,24.60x,64.3M,1.43G,2925,1533542400,56444502,0,0,0,0,2925,0,2925,0,925280,1725396075,1341849600,383552325,958297275,0,0,374400,327600,96525,424125,256,224,65,289,2925,2925,0,0,2925,0,2925,0,2925,4414840,3378310,0,0,832240,742620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115780,961600,60650030,59053520,14507324400,5489490,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,2925,2925,0,0,0,2925,2925,0,37010613,2468500,14447368222,2392868,5789675,14496050224,4939271,4955914,yes,profile,1,profile,dynamic,profile,1048576,48,0,0,0,0,profile,0,profile,8,profile,100,profile,96,profile,balanced,1048576,balanced,1,1,0,6,E8FA567F53966DCF8F4259A,2,2,0,12,12,64,6.09,4.040228,3.973886,100.18,na,na,na,10005140,9919538,20735.053,20189.238,4959769.026,1876.749,1509.347,1154.978,0.000,0.000,284.526,253.887,128.000,145.000,589879.000,131129.000,100.00,0.00,profile,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,280031955853,0,1,0,0,0,0,profile,0,0,0,0,0,0,0,0
