row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,828.551,,,,,,220.24,0.04,1.73,1.03,97.21,17.11x,12.9M,183M,1460,191365120,6841976,0,0,0,0,476,984,3525880,433450,10066991,11233836,2306021471,928881,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,2,1,Image.tif_,191346108,797.207,,,,,,228.90,0.02,1.58,1.03,97.37,17.11x,12.9M,183M,1460,191365120,6842024,0,0,0,0,482,978,1642071,440250,10123739,11460578,2319279384,793031,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,3,1,Image.tif_,191346108,738.289,,,,,,247.17,0.02,1.69,0.91,97.39,17.11x,12.9M,183M,1460,191365120,6841938,0,0,0,0,479,981,2990411,427580,10142527,11387079,2314921167,745770,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,128K,,1,Image.tif_,191346108,,788.016,797.207,828.551,828.551,828.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,1,1,Image.tif_,191346108,668.002,,,,,,273.18,0.05,1.56,0.91,97.49,21.89x,9.42M,183M,730,191365120,6896654,0,0,0,0,237,493,9333994,263860,9658156,9479382,2400836682,730020,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,2,1,Image.tif_,191346108,689.048,,,,,,264.83,0.05,1.42,1.04,97.50,21.89x,9.42M,183M,730,191365120,6896674,0,0,0,0,239,491,6015391,262790,9420833,9300864,2465698796,713530,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,3,1,Image.tif_,191346108,731.953,,,,,,249.31,0.04,1.42,0.95,97.58,21.89x,9.42M,183M,730,191365120,6896711,0,0,0,0,238,492,2368032,256000,9501797,9334795,2453948417,731411,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,256K,,1,Image.tif_,191346108,,696.334,689.048,731.953,731.953,731.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,1,1,Image.tif_,191346108,615.239,,,,,,296.60,0.03,1.43,0.83,97.71,25.47x,7.66M,183M,183,191889408,6992668,0,0,0,0,57,126,13514705,72380,7892053,7299050,2502177739,185510,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,2,1,Image.tif_,191346108,599.861,,,,,,304.21,0.15,1.99,0.80,97.06,25.47x,7.66M,183M,183,191889408,6993253,0,0,0,0,61,122,13556169,72330,7780328,7279726,2541997910,180370,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,3,1,Image.tif_,191346108,613.691,,,,,,297.35,0.03,1.39,1.03,97.55,25.47x,7.66M,183M,183,191889408,6993619,0,0,0,0,60,123,11856834,69650,7876828,7419160,2626620332,187860,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,1M,,1,Image.tif_,191346108,,609.597,613.691,615.239,615.239,615.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,9445078DBAD776D8FB2CD57
