row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,724.813,,,,,,251.76,1.22,2.53,2.53,93.72,17.11x,12.9M,183M,1460,191365120,6841886,0,0,0,0,1460,0,1460,0,404210,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569340,366390,8147780,9838782,2028021589,653291,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,2,1,Image.tif_,191346108,735.721,,,,,,248.03,0.53,1.92,0.93,96.62,17.11x,12.9M,183M,1460,191365120,6841951,0,0,0,0,1460,0,1460,0,437151,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256720,388760,8097923,9865326,2304961713,719090,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,128K,3,1,Image.tif_,191346108,728.758,,,,,,250.40,0.04,1.66,0.94,97.36,17.11x,12.9M,183M,1460,191365120,6841859,0,0,0,0,1460,0,1460,0,434780,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543741,402350,8124924,9812589,2302342127,702050,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,128K,,1,Image.tif_,191346108,,729.764,728.758,735.721,735.721,735.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,1,1,Image.tif_,191346108,634.179,,,,,,287.75,0.02,1.61,1.08,97.29,21.89x,9.42M,183M,730,191365120,6896635,0,0,0,0,730,0,730,0,231201,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277780,261010,7482220,7955033,2383137176,680650,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,2,1,Image.tif_,191346108,718.690,,,,,,253.91,0.06,1.62,1.42,96.89,21.89x,9.42M,183M,730,191365120,6896571,0,0,0,0,730,0,730,0,235590,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254251,223850,7411063,7824464,2457502748,662160,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,256K,3,1,Image.tif_,191346108,670.015,,,,,,272.35,0.02,1.44,1.25,97.29,21.89x,9.42M,183M,730,191365120,6896726,0,0,0,0,730,0,730,0,228701,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148420,256140,7257323,7801001,2463415285,704981,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,256K,,1,Image.tif_,191346108,,674.295,670.015,718.690,718.690,718.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,1,1,Image.tif_,191346108,761.861,,,,,,239.52,0.02,1.20,1.12,97.66,25.45x,7.66M,183M,183,191889408,6993456,0,0,0,0,183,0,183,0,61830,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73441195,64810,5903163,5774645,2485004512,152980,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,qat,sw,1M,2,1,Image.tif_,191346108,618.728,,,,,,294.93,0.05,1.48,0.83,97.65,25.48x,7.65M,183M,183,191889408,6992273,0,0,0,0,183,0,183,0,62000,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53235942,69580,6014594,5977093,2543572006,156920,0,0,0,0,0,25,0,0,yes,4,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
