row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1267.048,,,,,,576.09,0.05,4.40,2.23,93.33,17.16x,51.5M,730M,5840,765460480,27367615,0,0,0,0,1021,4819,5840,0,1679890,861464240,669777920,191698000,478079920,0,0,869380,1638030,35758790,39179590,19200465340,4427100,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,128K,2,4,Image.tif_,765384432,1260.662,,,,,,579.00,0.11,4.47,2.99,92.43,17.16x,51.5M,730M,5840,765460480,27367740,0,0,0,0,1037,4803,5840,0,1702810,861464240,669777920,191698000,478079920,0,0,881340,1643840,35878460,38852770,19083009080,4534040,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,128K,3,4,Image.tif_,765384432,1276.617,,,,,,571.77,0.05,4.13,2.28,93.55,17.16x,51.5M,730M,5840,765460480,27367759,0,0,0,0,1057,4783,5840,0,1698140,861464240,669777920,191698000,478079920,0,0,860730,1623050,35454170,38879850,19092897340,4449230,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
summary,qat,sw,128K,,4,Image.tif_,765384432,,1268.109,1267.048,1276.617,1276.617,1276.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,256K,1,4,Image.tif_,765384432,1231.926,,,,,,592.51,0.05,3.57,1.90,94.48,21.96x,37.4M,730M,2920,765460480,27586788,0,0,0,0,539,2381,2920,0,880060,861303640,669777920,191531560,478246360,0,0,489240,963410,32024460,30820620,20079445420,3435490,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,256K,2,4,Image.tif_,765384432,1195.983,,,,,,610.32,0.05,3.67,1.81,94.46,21.96x,37.4M,730M,2920,765460480,27586999,0,0,0,0,519,2401,2920,0,861230,861303640,669777920,191531560,478246360,0,0,486350,961650,32131540,30996510,19819824910,3426580,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,256K,3,4,Image.tif_,765384432,1187.766,,,,,,614.54,0.07,3.75,1.82,94.36,21.96x,37.4M,730M,2920,765460480,27586938,0,0,0,0,537,2383,2920,0,873910,861303640,669777920,191531560,478246360,0,0,648150,972260,32253500,31095010,20229484200,3397360,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
summary,qat,sw,256K,,4,Image.tif_,765384432,,1205.225,1195.983,1231.926,1231.926,1231.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,1M,1,4,Image.tif_,765384432,1163.653,,,,,,627.27,0.05,3.17,1.81,94.97,25.56x,30.4M,732M,732,767557632,27972441,0,0,0,0,128,604,732,0,220210,863542596,671612928,191931132,479681796,0,0,7220260,250310,24920840,23161150,20162259930,856220,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,1M,2,4,Image.tif_,765384432,1133.481,,,,,,643.97,0.14,3.52,1.89,94.45,25.56x,30.4M,732M,732,767557632,27975677,0,0,0,0,130,602,732,0,222200,863542596,671612928,191931132,479681796,0,0,184380,268870,25291370,23389710,20009687410,958530,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
raw,qat,sw,1M,3,4,Image.tif_,765384432,1173.384,,,,,,622.07,0.05,3.09,1.64,95.21,25.56x,30.4M,732M,732,767557632,27975936,0,0,0,0,133,599,732,0,224230,863542596,671612928,191931132,479681796,0,0,1135060,254690,24816360,22994830,20391584450,850910,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,1,4,2,94BDEFB952B82D7C5DF9902
summary,qat,sw,1M,,4,Image.tif_,765384432,,1156.839,1163.653,1173.384,1173.384,1173.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,,4,2,94BDEFB952B82D7C5DF9902
