dataset,compression,checksum,size,jobs,elapsed_seconds,write_bw_mib_s,compressratio,used,referenced,lrefer,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct
test-hdd-pool/bench/cpu-lz4,lz4,fletcher4,16G,1,35.210,774.07,1.96x,8.16G,8.16G,16.0G,0.13,1.85,2.70,95.32
test-hdd-pool/bench/qat-gzip-1,gzip-1,sha256,16G,1,53.341,752.94,1.96x,8.16G,8.16G,16.0G,0.11,15.65,1.87,82.37
test-hdd-pool/bench/qat-gzip-2,gzip-2,sha256,16G,1,53.500,767.76,1.96x,8.16G,8.16G,16.0G,0.11,15.60,2.01,82.28
test-hdd-pool/bench/qat-gzip-3,gzip-3,sha256,16G,1,54.213,746.15,1.96x,8.16G,8.16G,16.0G,0.11,15.36,1.86,82.68
test-hdd-pool/bench/qat-gzip-4,gzip-4,sha256,16G,1,54.233,738.25,1.96x,8.16G,8.16G,16.0G,0.11,18.21,1.94,79.74
