row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,1M,3,1,Image.tif_,191346108,612.911,,,,,,297.73,0.03,1.39,0.71,97.88,25.15x,7.75M,183M,183,191889408,7115056,0,0,0,0,183,0,183,0,66370,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6504152,60950,5991052,5770363,1958664378,153690,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,qat,sw,1M,,1,Image.tif_,191346108,,624.017,619.274,639.866,639.866,639.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,sw,sw,128K,1,1,Image.tif_,191346108,758.445,,,,,,240.60,0.02,4.07,0.76,95.15,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,sw,sw,128K,2,1,Image.tif_,191346108,792.560,,,,,,230.24,0.04,3.80,1.04,95.13,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,sw,sw,128K,3,1,Image.tif_,191346108,748.930,,,,,,243.66,0.10,4.52,0.97,94.40,16.86x,13.1M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,sw,sw,128K,,1,Image.tif_,191346108,,766.645,758.445,792.560,792.560,792.560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,sw,sw,256K,1,1,Image.tif_,191346108,613.833,,,,,,297.28,0.03,4.45,0.68,94.85,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,sw,sw,256K,2,1,Image.tif_,191346108,567.168,,,,,,321.74,0.03,4.96,0.82,94.19,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,sw,sw,256K,3,1,Image.tif_,191346108,618.036,,,,,,295.26,0.05,4.54,1.15,94.26,21.53x,9.57M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,sw,sw,256K,,1,Image.tif_,191346108,,599.679,613.833,618.036,618.036,618.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
raw,sw,sw,1M,1,1,Image.tif_,191346108,551.780,,,,,,330.71,0.03,4.85,1.15,93.97,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,sw,sw,1M,2,1,Image.tif_,191346108,544.077,,,,,,335.40,0.03,5.11,0.51,94.35,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
raw,sw,sw,1M,3,1,Image.tif_,191346108,525.247,,,,,,347.42,0.03,4.80,0.53,94.64,25.17x,7.76M,183M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,yes,1,dynamic,1048576,48,0,0,1,4,2,51222238CFF46E75D24E091
summary,sw,sw,1M,,1,Image.tif_,191346108,,540.368,544.077,551.780,551.780,551.780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dynamic,1048576,48,0,0,,4,2,51222238CFF46E75D24E091
