row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,1,Image.tif_,191346108,863.779,,,,,,211.26,0.04,1.30,0.85,97.82,17.11x,12.9M,183M,1460,191365120,6842026,1247,9441280,163446784,0,1730,977,9434243,445040,10198983,11298307,2302516310,917450,2355182,4725601,217351173,83820,0,25,0,6,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,2,1,Image.tif_,191346108,874.625,,,,,,208.64,0.09,1.69,3.12,95.10,17.11x,12.9M,183M,1460,191365120,6842010,1437,10891264,188350464,0,1912,985,3274750,430070,10196227,11378035,2323456100,849703,2628350,5068490,249242525,90230,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,3,1,Image.tif_,191346108,836.909,,,,,,218.04,0.02,1.15,0.91,97.92,17.11x,12.9M,183M,1460,191365120,6841904,1279,9740288,167641088,0,1761,978,3528022,408191,10133727,11327182,2310866856,869201,2659003,3965072,219835071,94420,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,128K,,1,Image.tif_,191346108,,858.438,863.779,874.625,874.625,874.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,1,1,Image.tif_,191346108,768.585,,,,,,237.43,0.02,0.97,0.95,98.06,21.89x,9.42M,183M,730,191365120,6896745,625,7278592,163840000,0,869,486,11024923,251031,9667588,9259326,2368904266,711091,2383281,3374222,193207588,100970,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,2,1,Image.tif_,191346108,665.191,,,,,,274.33,0.05,1.14,1.00,97.81,21.89x,9.42M,183M,730,191365120,6896788,622,7475200,163053568,0,864,488,5360947,240600,9509474,9303381,2472663631,766901,2355430,3392000,191523835,96670,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,3,1,Image.tif_,191346108,772.313,,,,,,236.28,0.02,1.05,1.73,97.20,21.89x,9.42M,183M,730,191365120,6896712,663,8036352,173801472,0,902,491,337480,251680,9435405,9204839,2471049798,753850,2847680,3704392,205598449,115261,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,256K,,1,Image.tif_,191346108,,735.363,768.585,772.313,772.313,772.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,1,1,Image.tif_,191346108,610.248,,,,,,299.03,0.05,1.02,0.84,98.10,25.47x,7.66M,183M,183,191889408,6993262,155,6492160,162529280,0,215,123,18678399,59720,7826340,7313580,2422707795,179680,2313252,2422030,166619808,53530,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,2,1,Image.tif_,191346108,629.465,,,,,,289.90,0.02,0.84,0.86,98.27,25.45x,7.66M,183M,183,191889408,6995142,152,5885952,159383552,0,212,123,10668117,64300,7772263,7376813,2636770391,181600,2156152,2348570,164183870,47170,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,3,1,Image.tif_,191346108,591.524,,,,,,308.49,0.03,0.94,0.84,98.19,25.47x,7.66M,183M,183,191889408,6993649,147,5541888,154140672,0,208,122,3151042,384640,7795301,7301787,2587967300,170060,2253060,2405482,158973832,47940,0,25,0,8,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,1M,,1,Image.tif_,191346108,,610.412,610.248,629.465,629.465,629.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
