row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,764.702,,,,,,238.63,0.04,1.71,0.85,97.40,17.11x,12.9M,183M,1460,191365120,6841940,0,0,0,0,475,985,2808631,461540,10262704,11524375,2318248608,851431,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,128K,2,1,Image.tif_,191346108,758.101,,,,,,240.71,0.10,1.83,1.60,96.47,17.11x,12.9M,183M,1460,191365120,6841992,0,0,0,0,478,982,2237791,424110,10065546,11489116,2302460073,815730,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,128K,3,1,Image.tif_,191346108,730.453,,,,,,249.82,0.04,1.74,1.02,97.19,17.11x,12.9M,183M,1460,191365120,6841946,0,0,0,0,479,981,3103062,452150,10118458,11631670,2308425838,879232,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,128K,,1,Image.tif_,191346108,,751.085,758.101,764.702,764.702,764.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,1,1,Image.tif_,191346108,642.947,,,,,,283.82,0.02,1.54,1.25,97.18,21.89x,9.42M,183M,730,191365120,6896733,0,0,0,0,237,493,552600,255860,9630457,9530401,2431145341,762790,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,2,1,Image.tif_,191346108,682.567,,,,,,267.35,0.02,1.50,1.27,97.21,21.89x,9.42M,183M,730,191365120,6896778,0,0,0,0,237,493,4441561,248040,9718933,9445122,2445650951,762560,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,256K,3,1,Image.tif_,191346108,718.599,,,,,,253.94,0.04,1.47,1.30,97.19,21.89x,9.42M,183M,730,191365120,6896669,0,0,0,0,237,493,3484871,255901,9573390,9472111,2493652098,769790,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,256K,,1,Image.tif_,191346108,,681.371,682.567,718.599,718.599,718.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,1,1,Image.tif_,191346108,639.177,,,,,,285.50,0.02,1.36,1.26,97.36,25.47x,7.66M,183M,183,191889408,6993655,0,0,0,0,61,122,4349861,59380,8085895,7704551,2617476562,184510,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,2,1,Image.tif_,191346108,638.925,,,,,,285.61,0.02,1.33,1.53,97.11,25.45x,7.66M,183M,183,191889408,6994195,0,0,0,0,60,123,6809413,61540,7781076,7350814,2613624740,186450,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,sw,1M,3,1,Image.tif_,191346108,659.094,,,,,,276.87,0.02,1.20,1.08,97.69,25.45x,7.66M,183M,183,191889408,6994160,0,0,0,0,60,123,1502301,59100,7886394,7452644,2659593106,182600,0,0,0,0,0,25,0,8,yes,4,1048576,48,1,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,sw,1M,,1,Image.tif_,191346108,,645.732,639.177,659.094,659.094,659.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
