row_type,mode,recordsize,iter,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,256K,1,Image.tif_,191346108,788.196,,,,,,231.52,0.04,1.42,1.01,97.53,21.89x,9.42M,183M,730,191365120,6896769,578,6848512,151519232,0,818,490,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,qat,256K,,Image.tif_,191346108,,788.196,788.196,788.196,788.196,788.196,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
raw,qat,1M,1,Image.tif_,191346108,610.188,,,,,,299.06,0.03,1.02,0.86,98.10,25.45x,7.66M,183M,183,191889408,6994137,153,6594560,160432128,0,214,122,yes,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
summary,qat,1M,,Image.tif_,191346108,,610.188,610.188,610.188,610.188,610.188,,,,,,,,,,,,,,,,,,,4,1048576,48,3A6C45EADEB1E3DF1D6F3C9
