row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1322.344,,,,,,552.00,0.05,4.08,1.93,93.94,16.07x,53.8M,730M,5840,765460480,33277086,0,0,0,0,1054,4786,10512496,3361072,41733994,44750095,18662927756,3866882,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,2,4,Image.tif_,765384432,1305.386,,,,,,559.17,0.14,4.41,1.95,93.50,16.07x,53.8M,730M,5840,765460480,33276624,0,0,0,0,1040,4800,8666398,2271972,42236079,45042115,18671229957,3696533,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,128K,3,4,Image.tif_,765384432,1281.632,,,,,,569.53,0.07,4.09,2.00,93.83,16.07x,53.8M,730M,5840,765460480,33276817,0,0,0,0,1041,4799,6329263,2982553,41812578,44510879,18657684175,3848072,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,128K,,4,Image.tif_,765384432,,1303.121,1305.386,1322.344,1322.344,1322.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,static,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,1,4,Image.tif_,765384432,1198.750,,,,,,608.91,0.07,3.70,1.84,94.40,19.59x,42.1M,730M,2920,765460480,33276614,0,0,0,0,574,2346,4120541,3158122,38921130,37273253,19520481735,3087641,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,2,4,Image.tif_,765384432,1214.650,,,,,,600.94,0.05,3.71,1.99,94.24,19.59x,42.1M,730M,2920,765460480,33276663,0,0,0,0,530,2390,7638183,1976730,38990621,37124100,19462898821,3096372,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,256K,3,4,Image.tif_,765384432,1176.371,,,,,,620.49,0.04,3.69,1.90,94.38,19.59x,42.1M,730M,2920,765460480,33276706,0,0,0,0,714,2206,6998294,1064630,39217664,36984466,14603515950,3010851,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,256K,,4,Image.tif_,765384432,,1196.590,1198.750,1214.650,1214.650,1214.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,static,1048576,48,,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,1,4,Image.tif_,765384432,1195.666,,,,,,610.48,0.05,3.07,1.85,95.03,21.93x,35.6M,732M,732,767557632,33377019,0,0,0,0,180,552,52862425,284740,32308403,29833353,14809152241,771130,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,2,4,Image.tif_,765384432,1153.910,,,,,,632.57,0.08,3.39,1.82,94.71,21.93x,35.6M,732M,732,767557632,33377050,0,0,0,0,126,606,37311980,1125220,31518217,29276193,19575570098,825210,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
raw,qat,sw,1M,3,4,Image.tif_,765384432,1138.118,,,,,,641.35,0.05,3.20,1.82,94.93,21.93x,35.6M,732M,732,767557632,33376988,0,0,0,0,124,608,45936226,1497471,31393073,29152742,19646549693,842750,0,0,0,0,0,50,0,0,yes,4,static,1048576,48,1,4,2,9445078DBAD776D8FB2CD57
summary,qat,sw,1M,,4,Image.tif_,765384432,,1162.565,1153.910,1195.666,1195.666,1195.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,static,1048576,48,,4,2,9445078DBAD776D8FB2CD57
