row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,256K,3,4,Image.tif_,765384432,957.093,,,,,,762.65,0.08,10.80,1.15,87.96,21.76x,37.8M,730M,968,253755392,10748089,0,0,0,0,535,433,968,0,246420,285528056,222035968,63494024,158541944,0,0,61952,54208,16456,70664,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691901,0,15604609,11090733,42938359587,4023552,0,0,0,0,0,1545,0,0,2920,0,968,968,1952,0,0,0,0,0,0,0,1580,1952,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,256K,,4,Image.tif_,765384432,,965.698,968.557,971.445,971.445,971.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,384,,0,6,22FB20D6AB5642298B92542
raw,qat,sw,1M,1,4,Image.tif_,765384432,1102.880,,,,,,661.84,0.06,5.50,1.65,92.79,25.50x,30.5M,732M,543,569376768,21534377,0,0,0,0,336,207,543,0,164340,640578729,498204672,142375143,355829529,0,0,139008,121632,35295,156927,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359820,0,25243642,19804075,69960895687,4365192,0,0,0,0,0,1545,0,0,732,0,543,543,189,0,0,0,0,0,0,0,1580,189,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,1M,2,4,Image.tif_,765384432,1065.118,,,,,,685.30,0.04,6.07,1.71,92.17,25.48x,30.5M,732M,532,557842432,20998600,0,0,0,0,327,205,532,0,158000,627601996,488112128,139490932,348621196,0,0,136192,119168,34580,153748,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368370,0,25139453,19546127,67976195669,4304301,0,0,0,0,0,1545,0,0,732,0,532,532,200,0,0,0,0,0,0,0,1580,200,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,qat,sw,1M,3,4,Image.tif_,765384432,1107.959,,,,,,658.80,0.04,5.73,2.22,92.01,25.49x,30.5M,732M,537,563085312,21639051,0,0,0,0,331,206,537,0,159761,633500511,492699648,140801937,351897711,0,0,137472,120288,34905,155193,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876671,0,27525927,19550021,68767256447,2893051,0,0,0,0,0,1545,0,0,732,0,537,537,195,0,0,0,0,0,0,0,1580,195,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
summary,qat,sw,1M,,4,Image.tif_,765384432,,1091.986,1102.880,1107.959,1107.959,1107.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,384,,0,6,22FB20D6AB5642298B92542
raw,sw,sw,32K,1,4,Image.tif_,765384432,1624.477,,,,,,449.33,0.04,12.80,5.75,81.41,6.89x,140M,731M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,sw,sw,32K,2,4,Image.tif_,765384432,1632.781,,,,,,447.05,0.11,12.63,7.31,79.96,6.89x,140M,731M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
raw,sw,sw,32K,3,4,Image.tif_,765384432,1681.459,,,,,,434.10,0.04,11.66,7.16,81.14,6.89x,140M,731M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,yes,4,dynamic,1048576,48,0,0,1,8,100,384,1,0,6,22FB20D6AB5642298B92542
summary,sw,sw,32K,,4,Image.tif_,765384432,,1646.239,1632.781,1681.459,1681.459,1681.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,384,,0,6,22FB20D6AB5642298B92542
