row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,qat,128K,1,1,Image.tif_,191346108,861.705,,,,,,211.77,0.04,1.37,0.85,97.74,17.11x,12.9M,183M,1460,191365120,6841995,1269,9629696,166330368,0,1744,985,3523790,460300,10359230,11084570,2290854930,862220,2674880,3983220,218341460,98670,0,25,0,6,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,2,1,Image.tif_,191346108,838.634,,,,,,217.59,0.02,1.22,0.82,97.94,17.11x,12.9M,183M,1460,191365120,6841982,1345,10309632,176291840,0,1822,983,4182320,449910,10237290,11247280,2305701820,885450,2651450,5162320,237285090,89630,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,128K,3,1,Image.tif_,191346108,867.377,,,,,,210.38,0.04,1.25,1.04,97.67,17.11x,12.9M,183M,1460,191365120,6841897,1322,10108928,173277184,0,1795,987,3425110,441900,10200970,11406940,2285527930,875210,2762270,4130840,229358160,96360,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,128K,,1,Image.tif_,191346108,,855.905,861.705,867.377,867.377,867.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,1,1,Image.tif_,191346108,757.657,,,,,,240.85,0.02,1.29,2.26,96.43,21.89x,9.42M,183M,730,191365120,6896747,681,8077312,178520064,0,923,488,9996680,249810,9791300,9378210,2407087760,764260,2842390,3422150,209222860,126140,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,2,1,Image.tif_,191346108,732.276,,,,,,249.20,0.04,1.12,1.23,97.61,21.89x,9.42M,183M,730,191365120,6896751,649,7688192,170131456,0,880,499,2041830,252270,9509220,9374480,2448718000,801330,2446540,3399220,198869300,95160,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,256K,3,1,Image.tif_,191346108,723.671,,,,,,252.16,0.04,1.07,0.84,98.05,21.89x,9.42M,183M,730,191365120,6896829,638,7585792,167247872,0,876,492,2105930,258090,9505660,9483340,2437909830,763590,2471430,3504820,196804460,100750,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,256K,,1,Image.tif_,191346108,,737.868,732.276,757.657,757.657,757.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,1,1,Image.tif_,191346108,620.094,,,,,,294.28,0.02,1.02,0.80,98.15,25.45x,7.66M,183M,183,191889408,6995142,154,6238208,161480704,0,216,121,39077720,72900,7890900,7312460,2400702180,206090,2340860,2539190,166039480,51740,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,2,1,Image.tif_,191346108,603.261,,,,,,302.49,0.03,0.98,0.80,98.20,25.45x,7.66M,183M,183,191889408,6994292,150,5926912,157286400,0,209,124,3701250,68800,7911630,7458130,2513041710,197050,2146000,2361370,161327350,48580,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
raw,qat,qat,1M,3,1,Image.tif_,191346108,658.423,,,,,,277.15,0.05,0.99,1.60,97.36,25.45x,7.66M,183M,183,191889408,6995132,157,6414336,164626432,0,218,122,8539850,72130,7693290,7356190,2511466420,196050,2269980,2493380,169579150,52760,0,25,0,7,yes,4,1048576,48,0,4,2,E99C3B2FDEE9BCBEBFDED14
summary,qat,qat,1M,,1,Image.tif_,191346108,,627.259,620.094,658.423,658.423,658.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,,4,2,E99C3B2FDEE9BCBEBFDED14
