row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,1,Image.tif_,191346108,930.541,,,,,,196.10,0.02,1.39,1.09,97.51,17.11x,12.9M,183M,1460,191365120,6841977,0,0,0,0,477,983,1460,0,419440,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,302850,384200,8724300,9783090,2330831600,1091800,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,128K,2,1,Image.tif_,191346108,786.483,,,,,,232.02,0.04,1.72,0.87,97.38,17.11x,12.9M,183M,1460,191365120,6841967,0,0,0,0,475,985,1460,0,420830,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,220290,387430,8702990,9909380,2323290850,1033220,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,128K,3,1,Image.tif_,191346108,741.649,,,,,,246.05,0.13,2.06,0.84,96.98,17.11x,12.9M,183M,1460,191365120,6841982,0,0,0,0,475,985,1460,0,420560,215366060,167444480,47924500,119519980,0,0,46720,40880,13140,54020,256,224,65,289,0,0,0,0,0,0,0,214090,363190,8777970,9742670,2312669190,1003160,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
summary,qat,sw,128K,,1,Image.tif_,191346108,,819.558,786.483,930.541,930.541,930.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,256K,1,1,Image.tif_,191346108,696.736,,,,,,261.91,0.02,1.45,1.34,97.19,21.89x,9.42M,183M,730,191365120,6896727,0,0,0,0,239,491,730,0,226140,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,256,224,65,289,0,0,0,0,0,0,0,127470,225520,7830120,7706000,2438145590,845320,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,256K,2,1,Image.tif_,191346108,657.718,,,,,,277.45,0.05,1.65,1.13,97.17,21.89x,9.42M,183M,730,191365120,6896769,0,0,0,0,233,497,730,0,229100,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,256,224,65,289,0,0,0,0,0,0,0,130390,222530,7845770,7709440,2437992120,815030,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,256K,3,1,Image.tif_,191346108,794.052,,,,,,229.81,0.02,1.29,1.15,97.53,21.89x,9.42M,183M,730,191365120,6896611,0,0,0,0,237,493,730,0,243320,215325910,167444480,47882890,119561590,0,0,46720,40880,12410,53290,256,224,65,289,0,0,0,0,0,0,0,227920,229050,7845940,7678600,2437098820,899290,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
summary,qat,sw,256K,,1,Image.tif_,191346108,,716.169,696.736,794.052,794.052,794.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,1M,1,1,Image.tif_,191346108,718.959,,,,,,253.81,0.02,1.12,1.45,97.41,25.45x,7.66M,183M,183,191889408,6994184,0,0,0,0,61,122,183,0,56680,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,44130,63520,6246480,5860190,2590661150,212780,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
raw,qat,sw,1M,2,1,Image.tif_,191346108,617.892,,,,,,295.33,0.05,1.40,0.85,97.70,25.45x,7.66M,183M,183,191889408,6994184,0,0,0,0,62,121,183,0,58400,215885649,167903232,47982783,119920449,0,0,46848,40992,11895,52887,256,224,65,289,0,0,0,0,0,0,0,46740,58750,6226150,5745730,2599496290,218090,0,0,0,0,0,50,0,0,yes,4,dynamic,1048576,48,0,1,4,2,12F7D9DCCEC34076F92E0CC
