row_type,mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_srcversion
raw,qat,128K,1,1,Image.tif_,191346108,944.210,,,,,,193.26,0.02,1.14,1.02,97.83,17.11x,12.9M,183M,1460,191365120,6841997,1353,10158080,177340416,0,1831,982,3753150,409500,10120150,11151520,2283198510,862330,2545980,5096400,235826290,86580,yes,4,1048576,48,9005FF9E36B658359545E79
summary,qat,128K,,1,Image.tif_,191346108,,944.210,944.210,944.210,944.210,944.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1048576,48,9005FF9E36B658359545E79
