row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion
raw,qat,sw,128K,1,4,Image.tif_,765384432,1147.142,,,,,,636.30,0.07,9.00,2.27,88.66,17.03x,51.7M,730M,5840,765460480,13421831,0,0,0,0,680,5160,5840,0,1433950,861464240,669777920,191698000,478079920,0,0,186880,163520,52560,216080,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1939051,0,66711413,267283646,84138666745,15064424,0,0,0,0,0,525,0,0,5840,3145,2695,2695,3145,0,32285,1679,3145,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,qat,sw,128K,,4,Image.tif_,765384432,,1147.142,1147.142,1147.142,1147.142,1147.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,qat,sw,256K,1,4,Image.tif_,765384432,1041.147,,,,,,701.08,0.07,10.01,1.53,88.39,21.80x,37.7M,730M,2920,765460480,14060871,0,0,0,0,316,2604,2920,0,710152,861303640,669777920,191531560,478246360,0,0,186880,163520,49640,213160,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45911341,0,99909455,209185131,84952713251,9535873,0,0,0,0,0,525,0,0,2920,1548,1372,1372,1548,0,14936,619,1548,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,qat,sw,256K,,4,Image.tif_,765384432,,1041.147,1041.147,1041.147,1041.147,1041.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,qat,sw,1M,1,4,Image.tif_,765384432,1236.152,,,,,,590.48,0.06,3.87,1.77,94.30,25.55x,30.4M,732M,732,767557632,27068449,0,0,0,0,154,578,732,0,199260,863542596,671612928,191931132,479681796,0,0,187392,163968,47580,211548,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142505222,0,178082919,49792956,109465409879,4705381,0,0,0,0,0,526,0,0,732,35,697,697,35,0,331,10,35,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,qat,sw,1M,,4,Image.tif_,765384432,,1236.152,1236.152,1236.152,1236.152,1236.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,sw,sw,128K,1,4,Image.tif_,765384432,1178.060,,,,,,619.60,0.15,14.82,1.69,83.34,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,sw,sw,128K,,4,Image.tif_,765384432,,1178.060,1178.060,1178.060,1178.060,1178.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,sw,sw,256K,1,4,Image.tif_,765384432,1079.694,,,,,,676.05,0.07,12.88,1.30,85.75,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,sw,sw,256K,,4,Image.tif_,765384432,,1079.694,1079.694,1079.694,1079.694,1079.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
raw,sw,sw,1M,1,4,Image.tif_,765384432,960.369,,,,,,760.05,0.08,14.34,1.25,84.33,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,4,dynamic,1048576,48,0,0,1,8,100,1,4,2,7CFE1AB442D8522C68305E8
summary,sw,sw,1M,,4,Image.tif_,765384432,,960.369,960.369,960.369,960.369,960.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,,4,2,7CFE1AB442D8522C68305E8
