dataset,compression,checksum,size,jobs,elapsed_seconds,write_bw_mib_s,compressratio,used,referenced,lrefer,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct
test-hdd-pool/bench/cpu-lz4,lz4,fletcher4,1G,1,3.835,2359.45,1.96x,522M,522M,1.00G,0.49,1.77,1.89,95.86
test-hdd-pool/bench/qat-gzip-1,gzip-1,sha256,1G,1,8.748,2359.45,1.88x,555M,555M,1.00G,0.20,1.13,1.50,97.17
test-hdd-pool/bench/qat-gzip-2,gzip-2,sha256,1G,1,8.962,2343.25,1.88x,555M,555M,1.00G,0.22,1.07,1.45,97.26
test-hdd-pool/bench/qat-gzip-3,gzip-3,sha256,1G,1,9.075,1973.02,1.88x,555M,555M,1.00G,0.20,1.12,1.43,97.24
test-hdd-pool/bench/qat-gzip-4,gzip-4,sha256,1G,1,8.841,2142.26,1.88x,555M,555M,1.00G,0.21,1.15,1.43,97.21
