Results: /root/zfs-qat-async-page-stack-records128k1m-jobs8-20260523.csv
Source: /nvme_scratch/source/2021-09-05/Scanned Documents/Image.tif (191346108 bytes)
Modes: qat sw
Verify mode: sw
Records: 128K 1M
Iterations: 5
Jobs: 8
raw,qat,sw,128K,1,8,Image.tif_,1530768864,1625.372,,,,,,898.17,0.14,12.60,4.91,82.34,16.93x,104M,1.43G,8759,1148059648,43283017,0,0,0,0,5521,3238,8759,0,2146130,1292048849,1004552192,287514175,717038017,0,0,280288,245252,78831,324083,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8226122,0,105824903,75198402,151305813446,15650245,0,0,0,0,0,768,0,0,11685,0,8759,8759,2926,0,0,0,0,0,0,0,768,2926,8759,8759,0,0,0,8759,8759,0,37021873,7564333,151305490009,5917283,39649626,151398217902,17274288,17284874,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,12.74,9.295921,9.193768,75.00,74.96,25.04,25.04,138374232,138194601,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,75421951366,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,2,8,Image.tif_,1530768864,1595.134,,,,,,915.19,0.11,12.13,4.20,83.55,16.93x,104M,1.43G,8459,1108738048,41968238,0,0,0,0,4938,3521,8459,0,1940601,1247795549,970145792,277666675,692479117,0,0,270688,236852,76131,312983,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6077562,0,96770752,69651025,154637852391,14839110,0,0,0,0,0,768,0,0,11683,0,8459,8459,3224,0,0,0,0,0,0,0,768,3224,8459,8459,0,0,0,8459,8459,0,35413407,6419392,154636612569,6039455,35382656,154722219684,18280720,18290840,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,12.24,8.764937,8.686167,72.43,72.40,27.60,27.60,146418360,146246935,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,77964309688,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,3,8,Image.tif_,1530768864,1779.910,,,,,,820.18,0.09,10.94,4.79,84.18,16.93x,104M,1.43G,8526,1117519872,41322730,0,0,0,0,5293,3233,8526,0,1971171,1257678786,977829888,279865950,697963938,0,0,272832,238728,76734,315462,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7930763,0,95635585,69443554,150065983304,13853455,0,0,0,0,0,768,0,0,11683,0,8526,8526,3157,0,0,0,0,0,0,0,768,3157,8526,8526,0,0,0,8526,8526,0,35115414,6474382,150064955053,5921303,38072143,150152883822,17600862,17611175,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,11.03,8.813406,8.741492,73.00,72.98,27.02,27.02,140975760,140807866,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,9,0,0,80595439903,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,4,8,Image.tif_,1530768864,1669.046,,,,,,874.66,0.08,11.76,4.35,83.80,16.93x,104M,1.43G,8361,1095892992,41014906,0,0,0,0,4994,3367,8361,0,1944591,1233339471,958906368,274449825,684456543,0,0,267552,234108,75249,309357,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7798346,0,95275280,69863048,151319141222,14755570,0,0,0,0,0,768,0,0,11686,0,8361,8361,3325,0,0,0,0,0,0,0,768,3325,8361,8361,0,0,0,8361,8361,0,34882562,7212318,151318134499,5998246,37345740,151405918608,18098090,18108589,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,11.84,8.871361,8.811419,71.59,71.55,28.45,28.45,144957814,144785687,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,83405060473,0,1,profile,0,0,0,0,0
raw,qat,sw,128K,5,8,Image.tif_,1530768864,1683.735,,,,,,867.03,0.14,12.42,4.39,83.06,16.92x,104M,1.43G,9266,1214513152,45042636,0,0,0,0,5742,3524,9266,0,2096130,1366836926,1062699008,304156450,758542558,0,0,296512,259448,83394,342842,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9093079,0,106506722,74865960,162464167917,15587972,0,0,0,0,0,768,0,0,11687,0,9266,9266,2421,0,0,0,0,0,0,0,768,2421,9266,9266,0,0,0,9266,9266,0,38550348,6734969,162452695772,6521172,38275607,162545315289,17532127,17542123,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,12.56,9.493658,9.387837,79.34,79.28,20.72,20.72,140436977,140266927,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,8,0,0,86130211452,0,1,profile,0,0,0,0,0
summary,qat,sw,128K,,8,Image.tif_,1530768864,,1670.639,1669.046,1779.910,1779.910,1779.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,,,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,,,,,,,,,,,0,0,profile,0,profile,0,,,,,,profile,1,profile,5000,profile,250,,,,,,,profile,0,,,,
raw,qat,sw,1M,1,8,Image.tif_,1530768864,1243.442,,,,,,1174.04,0.11,10.48,3.39,86.01,25.27x,61.4M,1.43G,1170,1226833920,46280746,0,0,0,0,1170,0,1170,0,413740,1380252510,1073479680,306775170,766704510,0,0,299520,262080,76050,338130,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895220,0,57497134,47207217,38224737960,4910532,0,0,0,0,0,768,0,0,1472,0,1170,1170,302,0,0,0,0,0,0,0,768,302,1170,1170,0,0,0,1170,1170,0,31141353,1203017,38222421975,896417,5048971,38261146944,32668736,32701834,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,10.59,5.911419,5.850016,80.14,79.48,20.52,20.52,32764404,32670716,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,88717723226,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,2,8,Image.tif_,1530768864,1247.361,,,,,,1170.35,0.11,10.77,3.60,85.52,25.26x,61.5M,1.43G,1123,1177550848,43744270,0,0,0,0,1123,0,1123,0,362310,1324806469,1030356992,294451723,735905269,0,0,287488,251552,72995,324547,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780931,0,53658840,44462005,35225461406,4545603,0,0,0,0,0,768,0,0,1472,0,1123,1123,349,0,0,0,0,0,0,0,768,349,1123,1123,0,0,0,1123,1123,0,29225599,1343050,35223324895,875949,4916188,35260084035,31365382,31398115,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,10.88,6.092440,6.030844,76.93,76.29,23.71,23.71,31458707,31367285,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,6,0,0,90978744454,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,3,8,Image.tif_,1530768864,1332.449,,,,,,1095.62,0.08,9.71,3.77,86.44,25.28x,61.4M,1.43G,1193,1250951168,47269543,0,0,0,0,1193,0,1193,0,423390,1407385679,1094582272,312805793,781776479,0,0,305408,267232,77545,344777,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3894231,0,61187696,47374506,31181884686,5085032,0,0,0,0,0,768,0,0,1472,0,1193,1193,279,0,0,0,0,0,0,0,768,279,1193,1193,0,0,0,1193,1193,0,31158824,1235906,31179901708,904279,5419997,31219051782,26135709,26168526,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,9.79,5.856033,5.808180,81.72,81.05,18.95,18.95,26232634,26137372,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,93287982765,0,1,profile,0,0,0,0,0
raw,qat,sw,1M,4,8,Image.tif_,1530768864,1283.879,,,,,,1137.07,0.18,10.78,3.41,85.64,25.25x,61.5M,1.43G,1077,1129316352,44197323,0,0,0,0,1077,0,1077,0,403620,1270540131,988151808,282390477,705761331,0,0,275712,241248,70005,311253,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796591,0,53032506,42312225,34131330879,4036802,0,0,0,0,0,768,0,0,1472,0,1077,1077,395,0,0,0,0,0,0,0,768,395,1077,1077,0,0,0,1077,1077,0,27923233,996808,34129296221,781934,4464794,34163823069,31689225,31721284,yes,profile,1,profile,dynamic,profile,1048576,48,profile,0,profile,0,profile,1,profile,8,profile,100,profile,96,profile,throughput,1048576,balanced,1,1,0,6,30CC7EE8BE7F16FFFA46299,2,2,0,12,12,64,10.96,6.316913,6.213168,73.77,73.17,26.83,26.83,31783391,31691115,0,0,profile,0,profile,0,0,0,0,0,0,profile,1,profile,5000,profile,250,7,0,0,95609345332,0,1,profile,0,0,0,0,0
