profile,media,jobs,recordsize,mode,iterations,sha_ok,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_async,zfs_qat_dc_async_cap_policy,zfs_qat_dc_min_buf_size,zfs_qat_dc_max_buf_size,elapsed_ms_mean,write_bw_mib_s_mean,cpu_active_s_per_gib_mean,cpu_system_s_per_gib_mean,qat_byte_share_pct_mean,qat_completion_share_pct_mean,qat_fallback_share_pct_mean,qat_cap_skip_share_pct_mean,qat_wait_ns_per_mib_mean,qat_setup_ns_per_req_mean,qat_submit_ns_per_req_mean,qat_wait_ns_per_req_mean,qat_cleanup_ns_per_req_mean,qat_page_array_alloc_ns_per_req_mean,qat_page_array_free_ns_per_req_mean,qat_buffer_list_alloc_ns_per_req_mean,qat_buffer_list_free_ns_per_req_mean,qat_req_alloc_ns_per_req_mean,qat_req_free_ns_per_req_mean,qat_src_buffers_per_req_mean,qat_dst_total_buffers_per_req_mean,qat_bound_bytes_per_req_mean,qat_scratch_bytes_per_req_mean,dc_compress_async_completions_delta_mean,dc_compress_async_cap_skips_delta_mean,dc_compress_async_submits_delta_mean,dc_compress_sync_completions_delta_mean,dc_compress_sync_submits_delta_mean,zfs_qat_dc_effective_min_buf_size_mean,zfs_qat_dc_effective_max_buf_size_mean,zfs_qat_dc_effective_async_mean,zfs_qat_dc_effective_async_max_inflight_mean,dc_compress_inflight_max_mean,dc_compress_async_inflight_max_mean
default,hdd,8,1M,qat,3,yes,balanced,131072,profile,profile,profile,profile,1464.847,996.663,11.779,11.713,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,8,1M,sw,3,yes,balanced,131072,profile,profile,profile,profile,1590.083,922.107,14.627,14.551,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,8,256K,qat,3,yes,balanced,131072,profile,profile,profile,profile,1435.747,1017.737,12.217,12.159,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,8,256K,sw,3,yes,balanced,131072,profile,profile,profile,profile,1421.092,1028.493,12.826,12.747,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,8,512K,qat,3,yes,balanced,131072,profile,profile,profile,profile,1413.192,1033.497,11.809,11.750,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,hdd,8,512K,sw,3,yes,balanced,131072,profile,profile,profile,profile,1346.462,1084.750,12.517,12.444,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,1,128K,qat,3,yes,balanced,131072,profile,profile,profile,profile,563.064,324.567,4.040,3.966,100.000,,,,6303343.333,9186.880,10317.233,787917.915,277.539,0.000,0.000,0.000,0.000,1037.507,0.000,32.000,37.000,147511.000,32825.000,0.000,0.000,0.000,1460.000,1460.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,1,128K,sw,3,yes,balanced,131072,profile,profile,profile,profile,562.080,324.823,9.758,9.678,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,1,1M,qat,3,yes,balanced,131072,profile,profile,profile,profile,525.428,347.417,9.987,9.894,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,1,1M,sw,3,yes,balanced,131072,profile,profile,profile,profile,534.843,341.193,9.763,9.667,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,1,256K,qat,3,yes,balanced,131072,profile,profile,profile,profile,548.273,333.130,9.749,9.599,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,1,256K,sw,3,yes,balanced,131072,profile,profile,profile,profile,535.973,340.500,9.356,9.260,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,1,512K,qat,3,yes,balanced,131072,profile,profile,profile,profile,539.635,338.227,9.850,9.701,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,1,512K,sw,3,yes,balanced,131072,profile,profile,profile,profile,528.459,345.347,9.773,9.697,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,25.000,0.000
default,nvme,4,128K,qat,3,yes,balanced,131072,profile,profile,profile,profile,828.121,881.433,3.891,3.834,100.000,,,,10928019.333,9616.581,10511.317,1366002.392,285.757,0.000,0.000,0.000,0.000,1067.921,0.000,32.000,37.000,147511.000,32825.000,0.000,0.000,0.000,5840.000,5840.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,4,128K,sw,3,yes,balanced,131072,profile,profile,profile,profile,765.776,953.270,11.091,11.022,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,4,1M,qat,3,yes,balanced,131072,profile,profile,profile,profile,763.823,962.440,11.433,11.360,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,4,1M,sw,3,yes,balanced,131072,profile,profile,profile,profile,869.881,839.267,12.951,12.891,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,4,256K,qat,3,yes,balanced,131072,profile,profile,profile,profile,755.233,966.667,10.954,10.886,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,4,256K,sw,3,yes,balanced,131072,profile,profile,profile,profile,755.436,966.307,11.003,10.935,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,4,512K,qat,3,yes,balanced,131072,profile,profile,profile,profile,748.846,974.753,11.022,10.950,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,4,512K,sw,3,yes,balanced,131072,profile,profile,profile,profile,749.728,973.650,11.010,10.957,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,8,128K,qat,3,yes,balanced,131072,profile,profile,profile,profile,1166.285,1259.687,5.912,5.817,100.000,,,,11987559.667,12341.870,12285.091,1498444.965,315.563,0.000,0.000,0.000,0.000,1316.251,0.000,32.000,37.000,147511.000,32825.000,0.000,0.000,0.000,11685.667,11685.667,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,8,128K,sw,3,yes,balanced,131072,profile,profile,profile,profile,1129.982,1308.940,16.112,16.017,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,8,1M,qat,3,yes,balanced,131072,profile,profile,profile,profile,994.626,1474.387,13.722,13.655,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,8,1M,sw,3,yes,balanced,131072,profile,profile,profile,profile,916.532,1594.127,13.400,13.343,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,8,256K,qat,3,yes,balanced,131072,profile,profile,profile,profile,1271.347,1149.160,18.015,17.893,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,8,256K,sw,3,yes,balanced,131072,profile,profile,profile,profile,1232.237,1193.493,17.411,17.291,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
default,nvme,8,512K,qat,3,yes,balanced,131072,profile,profile,profile,profile,1172.977,1250.320,15.486,15.395,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,8192.000,131072.000,0.000,96.000,50.000,0.000
