profile,media,jobs,recordsize,mode,iterations,sha_ok,zfs_qat_dc_profile,zfs_qat_dc_profile_recordsize,zfs_qat_dc_async,zfs_qat_dc_async_cap_policy,zfs_qat_dc_min_buf_size,zfs_qat_dc_max_buf_size,elapsed_ms_mean,write_bw_mib_s_mean,cpu_active_s_per_gib_mean,cpu_system_s_per_gib_mean,qat_byte_share_pct_mean,qat_completion_share_pct_mean,qat_fallback_share_pct_mean,qat_cap_skip_share_pct_mean,qat_wait_ns_per_mib_mean,qat_setup_ns_per_req_mean,qat_submit_ns_per_req_mean,qat_wait_ns_per_req_mean,qat_cleanup_ns_per_req_mean,qat_page_array_alloc_ns_per_req_mean,qat_page_array_free_ns_per_req_mean,qat_buffer_list_alloc_ns_per_req_mean,qat_buffer_list_free_ns_per_req_mean,qat_req_alloc_ns_per_req_mean,qat_req_free_ns_per_req_mean,qat_src_buffers_per_req_mean,qat_dst_total_buffers_per_req_mean,qat_bound_bytes_per_req_mean,qat_scratch_bytes_per_req_mean,dc_compress_async_completions_delta_mean,dc_compress_async_cap_skips_delta_mean,dc_compress_async_submits_delta_mean,dc_compress_sync_completions_delta_mean,dc_compress_sync_submits_delta_mean,zfs_qat_dc_effective_min_buf_size_mean,zfs_qat_dc_effective_max_buf_size_mean,zfs_qat_dc_effective_async_mean,zfs_qat_dc_effective_async_max_inflight_mean,dc_compress_inflight_max_mean,dc_compress_async_inflight_max_mean
throughput512,hdd,1,1M,sw,3,yes,throughput,524288,profile,profile,profile,profile,578.267,316.350,10.062,9.913,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,1,512K,qat,3,yes,throughput,524288,profile,profile,profile,profile,600.818,304.557,5.506,5.411,64.753,64.750,35.250,35.250,18046302.000,19551.737,20596.295,9023150.961,91.771,132.317,0.000,0.000,0.000,679.864,0.000,128.000,145.000,589879.000,131129.000,236.333,128.667,365.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,1,512K,sw,3,yes,throughput,524288,profile,profile,profile,profile,598.981,305.073,10.379,10.219,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,4,1M,qat,3,yes,throughput,524288,profile,profile,profile,profile,935.852,780.233,10.972,10.896,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,4,1M,sw,3,yes,throughput,524288,profile,profile,profile,profile,1015.885,719.837,11.176,11.092,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,4,512K,qat,3,yes,throughput,524288,profile,profile,profile,profile,869.606,841.910,7.511,7.456,47.423,47.420,52.580,52.580,20188615.000,21815.875,22085.041,10094307.387,91.055,146.290,0.000,0.000,0.000,818.639,0.000,128.000,145.000,589879.000,131129.000,692.333,767.667,1460.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,4,512K,sw,3,yes,throughput,524288,profile,profile,profile,profile,943.080,774.000,11.096,11.036,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,8,1M,qat,3,yes,throughput,524288,profile,profile,profile,profile,1442.770,1014.710,12.496,12.432,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,8,1M,sw,3,yes,throughput,524288,profile,profile,profile,profile,1502.708,972.763,12.528,12.464,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,8,512K,qat,3,yes,throughput,524288,profile,profile,profile,profile,1228.864,1188.190,7.815,7.742,52.427,52.303,47.697,47.697,20191747.667,22812.881,23940.001,10095873.936,100.394,155.200,0.000,0.000,0.000,929.318,0.000,128.000,145.000,589879.000,131129.000,1530.667,1396.000,2926.667,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,hdd,8,512K,sw,3,yes,throughput,524288,profile,profile,profile,profile,1465.250,997.447,12.016,11.955,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,1,1M,qat,3,yes,throughput,524288,profile,profile,profile,profile,532.599,342.683,9.117,9.040,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,1,1M,sw,3,yes,throughput,524288,profile,profile,profile,profile,512.262,356.860,9.315,9.204,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,1,512K,qat,3,yes,throughput,524288,profile,profile,profile,profile,524.736,348.540,5.047,4.990,73.793,73.793,26.207,26.207,17456816.667,43720.057,19713.628,8728408.532,90.177,375.274,0.000,0.000,0.000,857.440,0.000,128.000,145.000,589879.000,131129.000,269.333,95.667,365.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,1,512K,sw,3,yes,throughput,524288,profile,profile,profile,profile,527.303,346.117,9.730,9.617,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,4,1M,qat,3,yes,throughput,524288,profile,profile,profile,profile,722.959,1009.653,11.042,10.975,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,4,1M,sw,3,yes,throughput,524288,profile,profile,profile,profile,727.281,1003.953,11.096,11.057,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,4,512K,qat,3,yes,throughput,524288,profile,profile,profile,profile,708.362,1030.703,7.539,7.477,45.573,45.573,54.427,54.427,20181936.000,26437.304,22011.451,10090968.002,92.788,224.550,0.000,0.000,0.000,901.474,0.000,128.000,145.000,589879.000,131129.000,665.333,794.667,1460.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,4,512K,sw,3,yes,throughput,524288,profile,profile,profile,profile,761.241,958.877,11.029,10.983,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,8,1M,qat,3,yes,throughput,524288,profile,profile,profile,profile,814.401,1792.920,11.867,11.802,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,8,1M,sw,3,yes,throughput,524288,profile,profile,profile,profile,818.279,1784.160,11.884,11.813,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,8,512K,qat,3,yes,throughput,524288,profile,profile,profile,profile,842.727,1733.993,7.500,7.435,56.237,56.077,43.923,43.923,20954381.333,24785.852,21706.456,10477190.592,98.672,202.000,0.000,0.000,0.000,1160.941,0.000,128.000,145.000,589879.000,131129.000,1642.000,1286.000,2928.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
throughput512,nvme,8,512K,sw,3,yes,throughput,524288,profile,profile,profile,profile,827.422,1765.170,11.757,11.697,0.000,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,524288.000,524288.000,1.000,96.000,96.000,96.000
