case,baseline_case,runs,jobs,recordsize,zfs_srcversion,sha_ok_all,mean_elapsed_ms,baseline_mean_elapsed_ms,delta_elapsed_ms,delta_elapsed_ms_pct,mean_write_bw_mib_s,baseline_mean_write_bw_mib_s,delta_write_bw_mib_s,delta_write_bw_mib_s_pct,mean_cpu_active_pct,baseline_mean_cpu_active_pct,delta_cpu_active_pct,delta_cpu_active_pct_pct,mean_cpu_active_s_per_gib,baseline_mean_cpu_active_s_per_gib,delta_cpu_active_s_per_gib,delta_cpu_active_s_per_gib_pct,mean_cpu_system_s_per_gib,baseline_mean_cpu_system_s_per_gib,delta_cpu_system_s_per_gib,delta_cpu_system_s_per_gib_pct,mean_qat_byte_share_pct,baseline_mean_qat_byte_share_pct,delta_qat_byte_share_pct,delta_qat_byte_share_pct_pct,mean_qat_completion_share_pct,baseline_mean_qat_completion_share_pct,delta_qat_completion_share_pct,delta_qat_completion_share_pct_pct,mean_qat_fallback_share_pct,baseline_mean_qat_fallback_share_pct,delta_qat_fallback_share_pct,delta_qat_fallback_share_pct_pct,mean_qat_cap_skip_share_pct,baseline_mean_qat_cap_skip_share_pct,delta_qat_cap_skip_share_pct,delta_qat_cap_skip_share_pct_pct,mean_qat_service_ns_per_mib,baseline_mean_qat_service_ns_per_mib,delta_qat_service_ns_per_mib,delta_qat_service_ns_per_mib_pct,mean_qat_wait_ns_per_mib,baseline_mean_qat_wait_ns_per_mib,delta_qat_wait_ns_per_mib,delta_qat_wait_ns_per_mib_pct,mean_qat_setup_ns_per_req,baseline_mean_qat_setup_ns_per_req,delta_qat_setup_ns_per_req,delta_qat_setup_ns_per_req_pct,mean_qat_submit_ns_per_req,baseline_mean_qat_submit_ns_per_req,delta_qat_submit_ns_per_req,delta_qat_submit_ns_per_req_pct,mean_qat_req_alloc_ns_per_req,baseline_mean_qat_req_alloc_ns_per_req,delta_qat_req_alloc_ns_per_req,delta_qat_req_alloc_ns_per_req_pct,mean_qat_page_array_alloc_ns_per_req,baseline_mean_qat_page_array_alloc_ns_per_req,delta_qat_page_array_alloc_ns_per_req,delta_qat_page_array_alloc_ns_per_req_pct,mean_qat_src_buffers_per_req,baseline_mean_qat_src_buffers_per_req,delta_qat_src_buffers_per_req,delta_qat_src_buffers_per_req_pct,mean_qat_dst_total_buffers_per_req,baseline_mean_qat_dst_total_buffers_per_req,delta_qat_dst_total_buffers_per_req,delta_qat_dst_total_buffers_per_req_pct,mean_compressratio,baseline_mean_compressratio,delta_compressratio,delta_compressratio_pct
contig_scratch_jobs4,page_lookup_cache_jobs4,3,4,1M,2139D920B16AD90F9838F68,True,854.918,776.7163333333333,78.20166666666671,10.068240271330295,855.35,941.0266666666666,-85.67666666666662,-9.104594981367862,6.863333333333333,7.586666666666667,-0.7233333333333336,-9.534270650263624,5.239984,5.277107666666667,-0.037123666666667,-0.7034851098673244,5.191689666666667,5.212045,-0.020355333333332837,-0.39054408266492013,79.09333333333333,84.34666666666666,-5.25333333333333,-6.228264306038567,78.87,84.11,-5.239999999999995,-6.229936987278558,21.13,15.889999999999999,5.24,32.97671491504091,21.13,15.889999999999999,5.24,32.97671491504091,31011729.666666668,32252869.666666668,-1241140.0,-3.8481537079558468,30929929.333333332,32140696.333333332,-1210767.0,-3.767083909580096,45833.15633333333,73320.18333333333,-27487.027000000002,-37.489032010512794,35863.51666666666,38749.953,-2886.4363333333386,-7.448876991756192,1073.243,1165.68,-92.43700000000013,-7.929877839544311,631.8639999999999,721.999,-90.1350000000001,-12.484089313143107,256.0,256.0,0.0,0.0,225.0,289.0,-64.0,-22.145328719723185,25.26,,,
contig_scratch_jobs8,page_lookup_cache_jobs8,3,8,1M,2139D920B16AD90F9838F68,True,1290.23,989.293,300.937,30.419400521382446,1137.14,1477.16,-340.02,-23.018494949768474,11.07,16.123333333333335,-5.053333333333335,-31.341740748397772,6.395162666666667,7.153105333333333,-0.7579426666666667,-10.595994765163997,6.331765666666667,7.086535333333334,-0.7547696666666672,-10.650757121274973,72.01666666666667,79.82333333333332,-7.806666666666658,-9.779930680252214,71.45333333333333,79.20333333333333,-7.75,-9.784941711207441,28.546666666666667,20.796666666666667,7.75,37.26558743388363,28.546666666666667,20.796666666666667,7.75,37.26558743388363,33041988.333333332,26945543.0,6096445.333333332,22.625060231049464,32966166.666666668,26859470.0,6106696.666666668,22.73573032776398,37715.005,44507.854999999996,-6792.8499999999985,-15.262137436189633,37988.107,41463.36666666667,-3475.259666666665,-8.381518304109406,1024.553,1395.404,-370.8509999999999,-26.576604338241822,247.867,224.24666666666667,23.62033333333332,10.53319261527484,256.0,256.0,0.0,0.0,225.0,289.0,-64.0,-22.145328719723185,25.27,,,
