recordsize,jobs,hdd_qat_vs_sw_pct,nvme_qat_vs_sw_pct,hdd_qat_elapsed_ms,hdd_sw_elapsed_ms,nvme_qat_elapsed_ms,nvme_sw_elapsed_ms,hdd_qat_share_pct,nvme_qat_share_pct,hdd_qat_cpu_s_per_gib,hdd_sw_cpu_s_per_gib,nvme_qat_cpu_s_per_gib,nvme_sw_cpu_s_per_gib,hdd_ratio,nvme_ratio,source_sha256
512K,1,12.59,1.06,1334.341,1185.116,823.155,814.528,84.03,87.41,10.747,34.501,10.051,33.991,1.96,1.96,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf
512K,4,8.36,-21.50,3187.265,2941.457,1099.151,1400.251,74.91,72.55,15.296,41.557,16.286,39.409,1.96,1.96,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf
512K,8,7.30,-30.79,5903.609,5501.756,1265.468,1828.518,76.29,74.37,15.674,42.020,15.411,41.018,1.96,1.96,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf
1M,1,15.71,7.17,1373.317,1186.853,846.049,789.446,100.00,100.00,6.100,35.615,5.746,33.702,1.96,1.96,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf
1M,4,7.13,-15.23,3173.806,2962.450,1104.950,1303.500,83.33,83.64,12.232,41.104,11.804,38.639,1.96,1.96,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf
1M,8,4.65,-21.34,5843.045,5583.214,1466.801,1864.766,83.96,82.68,12.642,42.225,14.080,40.923,1.96,1.96,1f448c597fa37ba30961eb3dca5ead5ae4d737e1a7c28b3980998ed3b3c778bf
