profile,jobs,recordsize,src_coalesce,mode,iters,sha_ok_all,elapsed_ms,latency_avg_ms,write_bw_mib_s,cpu_active_s_per_gib,cpu_system_s_per_gib,compressratio,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,qat_setup_ns_per_req,qat_submit_ns_per_req,qat_wait_ns_per_req,qat_cleanup_ns_per_req,qat_page_array_alloc_ns_per_req,qat_page_array_free_ns_per_req,qat_buffer_list_alloc_ns_per_req,qat_buffer_list_free_ns_per_req,qat_req_alloc_ns_per_req,qat_req_free_ns_per_req,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,qat_bound_bytes_per_req,qat_scratch_bytes_per_req,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,comp_requests_delta,comp_in_delta,dc_fails_delta,dc_compress_submit_fails_delta,dc_compress_async_submits_delta,dc_compress_async_completions_delta,dc_compress_async_cap_skips_delta,coalesce_alloc_ns_per_req,coalesce_copy_ns_per_req,coalesce_free_ns_per_req,coalesce_bytes_per_req
sync,8,256K,1,qat,2,yes,1489.443000,,981.635000,4.906792,4.829243,,100.115000,,,,10530207.000000,10119354.500000,88940.134500,8830.421000,2529838.670500,4942.542000,1080.348500,812.031000,0.000000,0.000000,227.261000,190.671000,1.000000,73.000000,294967.000000,65593.000000,5846.000000,5846.000000,0.000000,1532493824.000000,157554680.000000,309088995.000000,18798980.000000,5846.000000,1532493824.000000,0.000000,,0.000000,0.000000,0.000000,26950.851865,52871.877352,3215.699624,262144.000000
sync,8,256K,1,sw,2,yes,1363.944500,,1070.600000,12.225524,12.173528,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
sync,8,512K,0,qat,2,yes,1486.511000,,982.100000,3.956621,3.896601,,100.165000,,,,10279182.500000,10193883.000000,20688.284000,20099.053000,5096941.537500,1862.300500,1493.929500,1146.088500,0.000000,0.000000,273.449500,259.835000,128.000000,145.000000,589879.000000,131129.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2924.500000,1533280256.000000,0.000000,,0.000000,0.000000,0.000000,,,,
sync,8,512K,0,sw,2,yes,1438.465500,,1018.120000,12.009322,11.954616,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
sync,8,512K,1,qat,2,yes,1466.427500,,995.845000,4.624199,4.568302,,100.265000,,,,10343687.500000,9873827.500000,213827.697000,13577.641500,4936913.683000,7524.810500,1496.056000,1131.344500,0.000000,0.000000,387.592000,484.382000,1.000000,145.000000,589879.000000,131129.000000,2927.500000,2927.500000,0.000000,1534853120.000000,201705860.000000,380422525.000000,15635025.000000,2927.500000,1534853120.000000,0.000000,,0.000000,0.000000,0.000000,68900.379163,129947.916311,5340.742955,524288.000000
sync,8,512K,1,sw,2,yes,1422.340000,,1026.410000,11.996744,11.939277,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
sync,8,1M,0,qat,2,yes,1519.603000,,961.095000,3.954677,3.886883,,100.760000,,,,10273713.000000,10198855.500000,37037.073500,35914.585000,10198855.510000,1906.190000,1519.293000,1169.333500,0.000000,0.000000,285.629000,285.156500,256.000000,289.000000,1179703.000000,262201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1471.000000,1542455296.000000,0.000000,,0.000000,0.000000,0.000000,,,,
sync,8,1M,0,sw,2,yes,1426.249000,,1024.635000,11.980906,11.920598,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
sync,8,1M,1,qat,2,yes,1514.851000,,963.810000,4.991259,4.926616,,100.795000,,,,10750190.000000,10074657.500000,639649.688500,23737.929500,10074657.332000,12145.076000,2307.389000,1598.694000,0.000000,0.000000,598.339500,611.610500,1.000000,289.000000,1179703.000000,262201.000000,1471.500000,1471.500000,0.000000,1542979584.000000,285908255.000000,614767330.000000,13595960.000000,1471.500000,1542979584.000000,0.000000,,0.000000,0.000000,0.000000,194297.149168,417782.759089,9239.524295,1048576.000000
sync,8,1M,1,sw,2,yes,1383.409500,,1055.295000,11.573753,11.514736,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
