artifact,mode,recordsize,jobs,elapsed_ms,cpu_active_s_per_gib,qat_byte_share_pct,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,qat_src_buf_unaligned_64_pct,qat_src_buf_len_not_64_pct,qat_src_first_bytes_per_req,qat_src_last_bytes_per_req,qat_dst_buf_unaligned_64_pct,qat_dst_buf_len_not_64_pct,qat_dst_first_bytes_per_req,qat_dst_last_bytes_per_req,qat_add_buf_unaligned_64_pct,qat_add_buf_len_not_64_pct,qat_add_first_bytes_per_req,qat_add_last_bytes_per_req,sha_ok
zfs-qat-alignment-shape-async-jobs4-20260522.csv,qat,128K,4,1148.860,9.118420,68.60,32.000,37.000,0.00,0.00,4096.000,4096.000,0.00,0.00,4096.000,4096.000,0.00,11.11,4096.000,57.000,yes
zfs-qat-alignment-shape-async-jobs4-20260522.csv,qat,1M,4,840.305,5.764087,72.47,256.000,289.000,0.00,0.00,4096.000,4096.000,0.00,0.00,4096.000,4096.000,0.00,1.54,4096.000,57.000,yes
zfs-qat-alignment-shape-sync-jobs1-20260522.csv,qat,128K,1,910.246,6.538061,100.01,32.000,37.000,0.00,0.00,4096.000,4096.000,0.00,0.00,4096.000,4096.000,0.00,11.11,4096.000,57.000,yes
zfs-qat-alignment-shape-sync-jobs1-20260522.csv,qat,1M,1,603.989,3.340488,100.28,256.000,289.000,0.00,0.00,4096.000,4096.000,0.00,0.00,4096.000,4096.000,0.00,1.54,4096.000,57.000,yes
