interval_us,jobs,rows,elapsed_ms_avg,cpu_active_s_per_gib_avg,cpu_system_s_per_gib_avg,qat_byte_share_pct_avg,qat_service_ns_per_mib_avg,qat_wait_ns_per_mib_avg,dc_poll_calls_delta_avg,dc_poll_success_delta_avg,dc_poll_ns_delta_avg
0,8,3,1363.9953333333333,6.955138000000001,6.8797950000000005,81.72,25501861.0,25397960.333333332,1530584.0,1079.3333333333333,180219097.66666666
0,12,3,1584.6456666666666,7.702464666666667,7.609764666666667,71.76,28170280.0,28069682.0,1957836.0,1420.0,231880949.33333334
1,8,3,1299.385,6.0186193333333335,5.955524,77.08666666666666,31328111.0,31234384.666666668,168968.0,1011.6666666666666,25048807.666666668
1,12,3,1764.9106666666667,7.8999820000000005,7.807804666666667,73.26333333333334,25310454.333333332,25200172.333333332,252204.0,1427.6666666666667,41979135.666666664
5,8,3,1267.1693333333333,6.267169666666667,6.196922666666667,73.59333333333333,32522420.333333332,32431475.333333332,129628.0,957.6666666666666,20353809.333333332
5,12,3,1486.0523333333333,7.138041666666666,7.065353666666667,67.98,30108461.0,30014199.666666668,180812.0,1349.6666666666667,29547032.0
10,8,3,1368.028,6.527764666666667,6.436890666666667,81.64999999999999,24554868.333333332,24457435.666666668,120440.0,1082.6666666666667,20933846.666666668
10,12,3,2042.8416666666665,10.357032333333335,10.244877,70.46333333333332,34248777.333333336,34109775.666666664,204316.0,1356.0,35907124.0
25,8,3,1425.756,6.844264666666667,6.762722666666666,80.89999999999999,22424380.666666668,22317190.333333332,81200.0,1061.6666666666667,17183864.333333332
25,12,3,1796.6166666666668,8.463310666666667,8.360712333333334,74.20666666666666,27002566.0,26890671.666666668,104532.0,1458.0,25313562.333333332
50,8,3,1448.3416666666665,6.764097333333333,6.692394666666668,82.08333333333333,19023830.0,18925757.666666668,49400.0,1080.3333333333333,13976305.333333334
50,12,3,1679.8266666666666,8.168746,8.093354,74.45333333333333,25115719.0,25009330.333333332,68052.0,1428.0,19147979.666666668
